"",BBEX3.M.SAR.EUR.CA.AC.A01,BBEX3.M.SAR.EUR.CA.AC.A01_FLAGS
"",Exchange rates for the euro in Saudi Arabia / EUR 1 = SAR ... (middle),
unit,EUR (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:20:33,
1999-01,4.27300,comment
1999-02,4.14460,comment
1999-03,4.02115,
1999-04,3.99125,
1999-05,3.92765,
1999-06,3.86930,
1999-07,4.02495,
1999-08,3.94635,
1999-09,4.00995,
1999-10,3.96510,
1999-11,3.80120,
1999-12,3.78810,
2000-01,3.69275,
2000-02,3.64860,
2000-03,3.58800,
2000-04,3.44100,
2000-05,3.50135,
2000-06,3.54320,
2000-07,3.47140,
2000-08,3.36195,
2000-09,3.32275,
2000-10,3.16320,
2000-11,3.23270,
2000-12,3.53905,
2001-01,3.48040,
2001-02,3.46395,
2001-03,3.29025,
2001-04,3.34925,
2001-05,3.20915,
2001-06,3.19570,
2001-07,3.29250,
2001-08,3.41090,
2001-09,3.42620,
2001-10,3.40940,
2001-11,3.33395,
2001-12,3.32980,
2002-01,3.24240,
2002-02,3.25215,
2002-03,3.27720,
2002-04,3.39525,
2002-05,3.51925,
2002-06,3.72395,
2002-07,3.69520,
2002-08,3.68815,
2002-09,3.69485,
2002-10,3.71090,
2002-11,3.73295,
2002-12,3.93470,
2003-01,4.06245,
2003-02,4.05165,
2003-03,4.06360,
2003-04,4.17265,
2003-05,4.42295,
2003-06,4.29145,
2003-07,4.25635,
2003-08,4.12225,
2003-09,4.36430,
2003-10,4.38075,
2003-11,4.50255,
2003-12,4.69120,
2004-01,4.68035,
2004-02,4.68825,
2004-03,4.59255,
2004-04,4.44055,
2004-05,4.57910,
2004-06,4.53505,
2004-07,4.50930,
2004-08,4.56305,
2004-09,4.62655,
2004-10,4.79920,
2004-11,4.98710,
2004-12,5.11150,
2005-01,4.88365,
2005-02,4.97850,
2005-03,4.84550,
2005-04,4.83015,
2005-05,4.65275,
2005-06,4.53540,
2005-07,4.55260,
2005-08,4.58585,
2005-09,4.52720,
2005-10,4.52870,
2005-11,4.42375,
2005-12,4.44765,
2006-01,4.53845,
2006-02,4.45065,
2006-03,4.53360,
2006-04,4.74125,
2006-05,4.83095,
2006-06,4.70875,
2006-07,4.78870,
2006-08,4.80890,
2006-09,4.75735,
2006-10,4.77115,
2006-11,4.94900,
2006-12,4.92620,
2007-01,4.86230,
2007-02,4.95980,
2007-03,5.01180,
2007-04,5.11565,
2007-05,5.03980,
2007-06,5.07825,
2007-07,5.14290,
2007-08,5.12085,
2007-09,5.34950,
2007-10,5.41485,
2007-11,5.52855,
2007-12,5.50180,
2008-01,5.54940,
2008-02,5.63710,
2008-03,5.89210,
2008-04,5.80750,
2008-05,5.80435,
2008-06,5.88840,
2008-07,5.81775,
2008-08,5.50300,
2008-09,5.48325,
2008-10,5.03510,
2008-11,4.80815,
2008-12,5.30895,
2009-01,4.85640,
2009-02,4.79500,
2009-03,5.00980,
2009-04,5.03730,
2009-05,5.35500,
2009-06,5.32255,
2009-07,5.30895,
2009-08,5.38155,
2009-09,5.52875,
2009-10,5.56760,
2009-11,5.68895,
2009-12,5.42250,
2010-01,5.23120,
2010-02,5.14285,
2010-03,5.06045,
2010-04,4.98835,
2010-05,4.64885,
2010-06,4.60050,
2010-07,4.93205,
2010-08,4.75950,
2010-09,5.21170,
2010-10,5.27155,
2010-11,4.92975,
2010-12,5.06075,
2011-01,5.14610,
2011-02,5.19975,
2011-03,5.39610,
2011-04,5.58605,
2011-05,5.39925,
2011-06,5.44110,
2011-07,5.43190,
2011-08,5.45560,
2011-09,5.05220,
2011-10,5.25485,
2011-11,5.06070,
2011-12,4.89135,
2012-01,4.99035,
2012-02,5.10175,
2012-03,5.03645,
2012-04,5.01280,
2012-05,4.68760,
2012-06,4.77965,
2012-07,4.64160,
2012-08,4.75015,
2012-09,4.85335,
2012-10,4.86700,
2012-11,4.86805,
2012-12,4.97550,
2013-01,5.11195,
2013-02,4.95625,
2013-03,4.81465,
2013-04,4.92270,
2013-05,4.87270,
2013-06,4.89150,
2013-07,4.98365,
2013-08,5.01310,
2013-09,5.08930,
2013-10,5.16675,
2013-11,5.10920,
2013-12,5.19290,
2014-01,5.12515,
2014-02,5.18890,
2014-03,5.17060,
2014-04,5.19395,
2014-05,5.11450,
2014-06,5.12810,
2014-07,5.05930,
2014-08,4.93225,
2014-09,4.77125,
2014-10,4.72475,
2014-11,4.67835,
2014-12,4.57220,
2015-01,4.23615,
"","Source: Calculated on the basis of the buying and selling rates of The Saudi British Bank, Riyadh.",
"",Comment on 1999-01: Data on euro exchange rates are available from end of March 1999 onwards. The quoted value was calculated on the basis of the D-Mark exchange rate in conjunction with the euro exchange rate of EUR 1 = DEM 1.95583.,
"",Comment on 1999-02: Data on euro exchange rates are available from end of March 1999 onwards. The quoted value was calculated on the basis of the D-Mark exchange rate in conjunction with the euro exchange rate of EUR 1 = DEM 1.95583.,
