"",BBK01.CEHE2Q,BBK01.CEHE2Q_FLAGS
"",short-term loans (consolidated) debtor: Domestic financial corporations                    creditor: All sectors,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:16:09,
1991-01,0.7,
1991-04,2.4,
1991-07,-0.1,
1991-10,-1.3,
1992-01,1.0,
1992-04,1.7,
1992-07,1.6,
1992-10,0.4,
1993-01,1.1,
1993-04,0.8,
1993-07,-0.3,
1993-10,0.1,
1994-01,2.0,
1994-04,1.7,
1994-07,0.1,
1994-10,-0.6,
1995-01,4.7,
1995-04,0.5,
1995-07,-1.5,
1995-10,2.0,
1996-01,3.8,
1996-04,0.2,
1996-07,-1.7,
1996-10,7.4,
1997-01,4.0,
1997-04,6.9,
1997-07,-5.1,
1997-10,2.2,
1998-01,5.3,
1998-04,9.2,
1998-07,-6.3,
1998-10,-0.1,
1999-01,-0.1,
1999-04,12.7,
1999-07,-9.0,
1999-10,7.3,
2000-01,27.4,
2000-04,14.4,
2000-07,-8.4,
2000-10,-2.9,
2001-01,17.6,
2001-04,-5.5,
2001-07,3.2,
2001-10,-16.4,
2002-01,-3.9,
2002-04,-5.1,
2002-07,2.5,
2002-10,-3.4,
2003-01,21.6,
2003-04,-1.1,
2003-07,3.4,
2003-10,-10.4,
2004-01,10.5,
2004-04,-10.1,
2004-07,-2.3,
2004-10,-2.2,
2005-01,-0.4,
2005-04,2.3,
2005-07,20.0,
2005-10,-12.8,
2006-01,30.0,
2006-04,9.8,
2006-07,8.7,
2006-10,-22.7,
2007-01,37.0,
2007-04,18.0,
2007-07,1.3,
2007-10,-21.8,
2008-01,33.9,
2008-04,10.1,
2008-07,-6.3,
2008-10,5.0,
2009-01,20.3,
2009-04,9.2,
2009-07,-14.2,
2009-10,16.4,
2010-01,-29.2,
2010-04,33.1,
2010-07,3.8,
2010-10,1.8,
2011-01,4.7,
2011-04,46.8,
2011-07,49.4,
2011-10,-26.0,
2012-01,30.5,
2012-04,34.0,
2012-07,-16.0,
2012-10,-14.2,
2013-01,35.0,
2013-04,53.1,
2013-07,-41.4,
2013-10,-21.5,
2014-01,16.5,
