"",BBK01.OEHJ04P,BBK01.OEHJ04P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:02:34,
2002-01,0.332,
2002-04,0.376,
2002-07,0.392,
2002-10,0.393,
2003-01,0.378,
2003-04,0.350,
2003-07,0.336,
2003-10,0.278,
2004-01,0.281,
2004-04,0.308,
2004-07,0.344,
2004-10,0.347,
2005-01,0.390,
2005-04,0.378,
2005-07,0.355,
2005-10,0.442,
2006-01,0.409,
2006-04,0.422,
2006-07,0.517,
2006-10,0.574,
2007-01,0.531,
2007-04,0.633,
2007-07,0.776,
2007-10,0.829,
2008-01,0.878,
2008-04,0.866,
2008-07,0.988,
2008-10,0.800,
2009-01,0.773,
2009-04,0.791,
2009-07,0.636,
2009-10,0.677,
2010-01,0.588,
2010-04,0.510,
2010-07,0.519,
2010-10,0.725,
2011-01,0.528,
2011-04,0.507,
2011-07,0.509,
2011-10,0.549,
2012-01,0.507,
2012-04,0.505,
2012-07,0.480,
2012-10,0.468,
2013-01,0.442,
2013-04,0.420,
2013-07,0.426,
2013-10,0.354,
2014-01,0.379,
2014-04,0.377,
2014-07,0.382,
