"",BBSF2.M.1.T.00000.TOT01.I.F.SVG.DE.00122.F03300.Z01.00,BBSF2.M.1.T.00000.TOT01.I.F.SVG.DE.00122.F03300.Z01.00_FLAGS
"",Funds total / Funds total / Debt securities total / Germany / Monetary financial institutes (MFIs),
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:43:09,
2009-09,75424,
2009-10,73339,
2009-11,73164,
2009-12,72681,
2010-01,71995,
2010-02,71326,
2010-03,70392,
2010-04,69354,
2010-05,70020,
2010-06,70196,
2010-07,69292,
2010-08,70107,
2010-09,68655,
2010-10,67145,
2010-11,66176,
2010-12,66011,
2011-01,64316,
2011-02,63786,
2011-03,64054,
2011-04,62881,
2011-05,63105,
2011-06,62808,
2011-07,62866,
2011-08,63131,
2011-09,62547,
2011-10,62408,
2011-11,62921,
2011-12,63698,
2012-01,62739,
2012-02,63157,
2012-03,62630,
2012-04,63279,
2012-05,62913,
2012-06,61925,
2012-07,62756,
2012-08,62711,
2012-09,62288,
2012-10,61160,
2012-11,59307,
2012-12,58073,
2013-01,55420,
2013-02,55324,
2013-03,54643,
2013-04,54657,
2013-05,53935,
2013-06,53858,
2013-07,53861,
2013-08,53923,
2013-09,53215,
2013-10,52179,
2013-11,51028,
2013-12,50071,
2014-01,50313,
2014-02,49493,
2014-03,49107,
2014-04,48161,
2014-05,47975,
2014-06,48182,
2014-07,48277,
2014-08,48484,
2014-09,49063,
2014-10,50593,
2014-11,50210,
