"",BBK01.OEAC34H,BBK01.OEAC34H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:53:13,
2002-01,1.024,
2002-04,1.093,
2002-07,1.076,
2002-10,0.993,
2003-01,0.981,
2003-04,0.919,
2003-07,0.931,
2003-10,0.893,
2004-01,0.958,
2004-04,0.970,
2004-07,0.965,
2004-10,0.944,
2005-01,0.861,
2005-04,0.915,
2005-07,0.792,
2005-10,0.776,
2006-01,0.805,
2006-04,0.832,
2006-07,0.852,
2006-10,0.843,
2007-01,0.830,
2007-04,0.848,
2007-07,0.851,
2007-10,0.861,
2008-01,0.856,
2008-04,0.838,
2008-07,0.862,
2008-10,1.126,
2009-01,1.208,
2009-04,1.391,
2009-07,1.395,
2009-10,1.290,
2010-01,1.311,
2010-04,1.408,
2010-07,1.333,
2010-10,1.314,
2011-01,1.375,
2011-04,1.364,
2011-07,1.755,
2011-10,1.796,
2012-01,1.790,
2012-04,1.819,
2012-07,1.821,
2012-10,1.749,
2013-01,1.779,
2013-04,1.822,
2013-07,1.816,
2013-10,1.816,
2014-01,1.856,
2014-04,1.952,
2014-07,2.049,
