"",BBFB1.M.N.DE.W1.S1.S1.T.C.SG._Z._Z._Z._T._X.N,BBFB1.M.N.DE.W1.S1.S1.T.C.SG._Z._Z._Z._T._X.N_FLAGS
"",Current account / Financial services / Receipts / Rest of the World,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:36:29,
1991-01,150.916,
1991-02,161.616,
1991-03,171.614,
1991-04,190.748,
1991-05,210.745,
1991-06,191.468,
1991-07,201.293,
1991-08,165.090,
1991-09,154.844,
1991-10,194.857,
1991-11,201.818,
1991-12,212.263,
1992-01,195.337,
1992-02,267.471,
1992-03,200.148,
1992-04,206.688,
1992-05,172.293,
1992-06,224.485,
1992-07,204.277,
1992-08,183.759,
1992-09,172.115,
1992-10,286.762,
1992-11,266.083,
1992-12,269.865,
1993-01,308.994,
1993-02,370.127,
1993-03,362.161,
1993-04,350.993,
1993-05,293.732,
1993-06,234.889,
1993-07,298.629,
1993-08,270.729,
1993-09,318.711,
1993-10,370.497,
1993-11,332.350,
1993-12,320.683,
1994-01,431.216,
1994-02,388.082,
1994-03,333.362,
1994-04,338.971,
1994-05,281.972,
1994-06,314.518,
1994-07,325.132,
1994-08,306.553,
1994-09,302.752,
1994-10,299.071,
1994-11,351.612,
1994-12,285.404,
1995-01,416.960,
1995-02,389.390,
1995-03,360.850,
1995-04,332.144,
1995-05,441.002,
1995-06,414.024,
1995-07,456.347,
1995-08,398.728,
1995-09,371.902,
1995-10,513.273,
1995-11,489.050,
1995-12,512.543,
1996-01,599.492,
1996-02,614.800,
1996-03,469.232,
1996-04,526.833,
1996-05,541.579,
1996-06,469.534,
1996-07,538.043,
1996-08,485.456,
1996-09,521.121,
1996-10,622.136,
1996-11,587.731,
1996-12,590.666,
1997-01,662.152,
1997-02,641.019,
1997-03,660.646,
1997-04,619.848,
1997-05,658.573,
1997-06,632.639,
1997-07,759.198,
1997-08,614.280,
1997-09,580.979,
1997-10,644.607,
1997-11,585.205,
1997-12,578.241,
1998-01,662.394,
1998-02,719.295,
1998-03,718.000,
1998-04,806.707,
1998-05,639.410,
1998-06,644.480,
1998-07,723.137,
1998-08,674.648,
1998-09,636.987,
1998-10,772.384,
1998-11,673.870,
1998-12,762.764,
1999-01,832.928,
1999-02,805.689,
1999-03,887.644,
1999-04,957.676,
1999-05,980.547,
1999-06,1020.153,
1999-07,1086.898,
1999-08,1230.984,
1999-09,1085.333,
1999-10,898.882,
1999-11,886.820,
1999-12,1011.983,
2000-01,899.871,
2000-02,947.612,
2000-03,876.579,
2000-04,1225.202,
2000-05,718.032,
2000-06,843.227,
2000-07,982.634,
2000-08,667.664,
2000-09,710.290,
2000-10,765.070,
2000-11,799.382,
2000-12,1015.619,
2001-01,859.806,
2001-02,907.584,
2001-03,794.214,
2001-04,869.892,
2001-05,1101.867,
2001-06,931.470,
2001-07,1031.722,
2001-08,995.448,
2001-09,949.160,
2001-10,1159.957,
2001-11,1185.911,
2001-12,1313.528,
2002-01,1195.518,
2002-02,1115.684,
2002-03,1160.078,
2002-04,1131.594,
2002-05,1069.841,
2002-06,1018.213,
2002-07,1145.699,
2002-08,1050.088,
2002-09,1085.693,
2002-10,1260.414,
2002-11,1067.445,
2002-12,1201.993,
2003-01,781.239,
2003-02,715.063,
2003-03,703.968,
2003-04,764.542,
2003-05,733.133,
2003-06,813.700,
2003-07,808.983,
2003-08,727.228,
2003-09,721.844,
2003-10,728.411,
2003-11,762.842,
2003-12,901.152,
2004-01,755.767,
2004-02,776.723,
2004-03,843.319,
2004-04,921.587,
2004-05,824.894,
2004-06,855.849,
2004-07,866.422,
2004-08,836.850,
2004-09,879.606,
2004-10,886.047,
2004-11,870.070,
2004-12,1213.330,
2005-01,972.371,
2005-02,913.519,
2005-03,977.068,
2005-04,1022.193,
2005-05,1015.187,
2005-06,1092.934,
2005-07,1076.964,
2005-08,986.352,
2005-09,1045.547,
2005-10,1054.014,
2005-11,1063.801,
2005-12,1431.918,
2006-01,1177.920,
2006-02,1071.628,
2006-03,1084.429,
2006-04,1062.473,
2006-05,1247.030,
2006-06,1141.652,
2006-07,1196.483,
2006-08,1081.448,
2006-09,1314.956,
2006-10,1246.303,
2006-11,1094.179,
2006-12,1653.345,
2007-01,1059.429,
2007-02,989.154,
2007-03,1015.128,
2007-04,1089.639,
2007-05,1215.266,
2007-06,1153.180,
2007-07,1286.336,
2007-08,1197.465,
2007-09,1014.075,
2007-10,1237.969,
2007-11,1169.581,
2007-12,1929.216,
2008-01,1407.929,
2008-02,1273.378,
2008-03,1179.954,
2008-04,1305.220,
2008-05,1329.979,
2008-06,1229.124,
2008-07,1413.126,
2008-08,1324.857,
2008-09,1367.612,
2008-10,1919.385,
2008-11,1672.441,
2008-12,1886.000,
2009-01,1371.044,
2009-02,1345.039,
2009-03,1471.078,
2009-04,1325.613,
2009-05,1139.480,
2009-06,1166.324,
2009-07,1344.873,
2009-08,1204.241,
2009-09,1141.868,
2009-10,1349.398,
2009-11,1202.368,
2009-12,2163.166,
2010-01,1573.547,
2010-02,1126.804,
2010-03,1137.311,
2010-04,1313.233,
2010-05,1246.219,
2010-06,1226.861,
2010-07,1333.506,
2010-08,1668.098,
2010-09,1285.034,
2010-10,1260.964,
2010-11,1306.338,
2010-12,1696.124,
2011-01,1363.721,
2011-02,1187.325,
2011-03,1256.723,
2011-04,1392.083,
2011-05,1465.315,
2011-06,1353.479,
2011-07,1409.726,
2011-08,1312.433,
2011-09,1572.613,
2011-10,2335.815,
2011-11,1326.443,
2011-12,1820.443,
2012-01,1384.791,
2012-02,1330.769,
2012-03,1397.354,
2012-04,1459.034,
2012-05,1259.899,
2012-06,1490.896,
2012-07,1280.798,
2012-08,2276.669,
2012-09,1260.594,
2012-10,1182.983,
2012-11,1244.317,
2012-12,1634.386,
2013-01,1241.671,
2013-02,1144.806,
2013-03,1275.432,
2013-04,1247.648,
2013-05,1266.552,
2013-06,1258.614,
2013-07,1427.393,
2013-08,1297.628,
2013-09,2268.117,
2013-10,1236.426,
2013-11,1341.932,
2013-12,1862.177,
2014-01,1303.988,
2014-02,1087.241,Provisional value
2014-03,1346.161,Provisional value
2014-04,1308.503,Provisional value
2014-05,1392.846,Provisional value
2014-06,1272.379,Provisional value
2014-07,1594.701,Provisional value
2014-08,1408.371,Provisional value
2014-09,1541.652,
2014-10,1327.411,
2014-11,1424.100,
2014-12,1594.152,Provisional value
