"",BBK01.CEL00N,BBK01.CEL00N_FLAGS
"",Acquisition of financial assets total                                    debtor: Total            creditor: Rest of the world,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:51:07,
1999-01,91.8,
1999-04,98.6,
1999-07,60.3,
1999-10,44.0,
2000-01,173.1,
2000-04,90.9,
2000-07,70.9,
2000-10,34.7,
2001-01,191.1,
2001-04,91.3,
2001-07,18.5,
2001-10,44.1,
2002-01,54.5,
2002-04,98.2,
2002-07,88.2,
2002-10,2.7,
2003-01,108.1,
2003-04,69.8,
2003-07,-23.8,
2003-10,37.8,
2004-01,120.0,
2004-04,-53.9,
2004-07,68.4,
2004-10,-87.7,
2005-01,171.4,
2005-04,24.6,
2005-07,181.0,
2005-10,153.6,
2006-01,202.3,
2006-04,165.3,
2006-07,113.7,
2006-10,68.4,
2007-01,151.6,
2007-04,186.4,
2007-07,-12.0,
2007-10,4.3,
2008-01,172.9,
2008-04,-175.5,
2008-07,-120.1,
2008-10,-380.9,
2009-01,233.3,
2009-04,-290.5,
2009-07,-17.7,
2009-10,36.2,
2010-01,62.0,
2010-04,265.4,
2010-07,13.3,
2010-10,-161.8,
2011-01,-110.7,
2011-04,97.7,
2011-07,455.2,
2011-10,-405.3,
2012-01,115.2,
2012-04,246.7,
2012-07,-43.6,
2012-10,-153.4,
2013-01,5.4,
2013-04,-5.6,
2013-07,-144.6,
2013-10,-93.6,
2014-01,29.2,
2014-04,125.5,
2014-07,71.5,
