"",BBK01.CEH2Q2,BBK01.CEH2Q2_FLAGS
"",Currency and deposits (consolidated) debtor: All sectors                   creditor: Domestic financial corporations,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:15:51,
1991-01,5.2,
1991-04,-14.1,
1991-07,-4.8,
1991-10,19.0,
1992-01,-1.4,
1992-04,-12.2,
1992-07,34.4,
1992-10,-10.4,
1993-01,22.5,
1993-04,21.6,
1993-07,13.5,
1993-10,35.2,
1994-01,-11.7,
1994-04,-2.6,
1994-07,5.4,
1994-10,26.4,
1995-01,11.0,
1995-04,24.1,
1995-07,18.4,
1995-10,7.4,
1996-01,21.7,
1996-04,7.6,
1996-07,6.6,
1996-10,13.1,
1997-01,19.1,
1997-04,13.7,
1997-07,-1.0,
1997-10,33.4,
1998-01,22.0,
1998-04,17.7,
1998-07,13.5,
1998-10,14.4,
1999-01,21.2,
1999-04,-7.7,
1999-07,16.0,
1999-10,-2.6,
2000-01,35.4,
2000-04,4.9,
2000-07,18.2,
2000-10,21.5,
2001-01,50.4,
2001-04,6.7,
2001-07,45.0,
2001-10,9.5,
2002-01,1.0,
2002-04,59.4,
2002-07,54.3,
2002-10,28.3,
2003-01,79.2,
2003-04,71.0,
2003-07,-14.4,
2003-10,-10.1,
2004-01,40.4,
2004-04,19.5,
2004-07,26.2,
2004-10,32.6,
2005-01,97.7,
2005-04,36.0,
2005-07,29.7,
2005-10,-59.5,
2006-01,128.2,
2006-04,45.6,
2006-07,1.8,
2006-10,32.7,
2007-01,68.5,
2007-04,78.6,
2007-07,72.2,
2007-10,8.0,
2008-01,98.9,
2008-04,0.4,
2008-07,64.5,
2008-10,-22.3,
2009-01,-28.2,
2009-04,-24.1,
2009-07,-74.6,
2009-10,12.9,
2010-01,-33.9,
2010-04,53.8,
2010-07,-33.6,
2010-10,-97.2,
2011-01,-17.1,
2011-04,57.6,
2011-07,86.6,
2011-10,-104.5,
2012-01,4.3,
2012-04,6.1,
2012-07,10.8,
2012-10,-111.2,
2013-01,49.1,
2013-04,41.7,
2013-07,-113.5,
2013-10,-16.2,
2014-01,77.4,
