"",BBK01.OEHJ06V,BBK01.OEHJ06V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:02:49,
2002-01,0.433,
2002-04,0.431,
2002-07,0.423,
2002-10,0.403,
2003-01,0.400,
2003-04,0.394,
2003-07,0.377,
2003-10,0.418,
2004-01,0.413,
2004-04,0.425,
2004-07,0.417,
2004-10,0.416,
2005-01,0.419,
2005-04,0.406,
2005-07,0.376,
2005-10,0.368,
2006-01,0.365,
2006-04,0.342,
2006-07,0.341,
2006-10,0.327,
2007-01,0.327,
2007-04,0.330,
2007-07,0.329,
2007-10,0.312,
2008-01,0.291,
2008-04,0.288,
2008-07,0.286,
2008-10,0.326,
2009-01,0.311,
2009-04,0.321,
2009-07,0.321,
2009-10,0.356,
2010-01,0.335,
2010-04,0.336,
2010-07,0.371,
2010-10,0.361,
2011-01,0.356,
2011-04,0.358,
2011-07,0.360,
2011-10,0.359,
2012-01,0.356,
2012-04,0.355,
2012-07,0.353,
2012-10,0.344,
2013-01,0.341,
2013-04,0.341,
2013-07,0.332,
2013-10,0.315,
2014-01,0.309,
2014-04,0.308,
2014-07,0.314,
