"",BBK01.OELB10R,BBK01.OELB10R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:38:08,
2002-01,0.095,
2002-04,0.098,
2002-07,0.090,
2002-10,0.079,
2003-01,0.089,
2003-04,0.093,
2003-07,0.085,
2003-10,0.070,
2004-01,0.073,
2004-04,0.077,
2004-07,0.083,
2004-10,0.062,
2005-01,0.064,
2005-04,0.070,
2005-07,0.066,
2005-10,0.056,
2006-01,0.061,
2006-04,0.070,
2006-07,0.069,
2006-10,0.054,
2007-01,0.060,
2007-04,0.064,
2007-07,0.065,
2007-10,0.059,
2008-01,0.059,
2008-04,0.056,
2008-07,0.051,
2008-10,0.048,
2009-01,0.060,
2009-04,0.069,
2009-07,0.067,
2009-10,0.064,
2010-01,0.066,
2010-04,0.066,
2010-07,0.064,
2010-10,0.054,
2011-01,0.054,
2011-04,0.055,
2011-07,0.049,
2011-10,0.044,
2012-01,0.042,
2012-04,0.056,
2012-07,0.055,
2012-10,0.053,
2013-01,0.053,
2013-04,0.055,
2013-07,0.052,
2013-10,0.050,
2014-01,0.058,
2014-04,0.060,
2014-07,0.060,
