"",BBSF2.M.1.P.00000.GEM01.I.F.BGH.Z5.00000.000000.Z01.00,BBSF2.M.1.P.00000.GEM01.I.F.BGH.Z5.00000.000000.Z01.00_FLAGS
"",Public funds / Mixed securities funds / Deposits and loan claims,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:40:48,
1993-01,.,No value available
1993-02,.,No value available
1993-03,.,No value available
1993-04,160,
1993-05,172,
1993-06,326,
1993-07,152,
1993-08,163,
1993-09,180,
1993-10,203,
1993-11,282,
1993-12,275,
1994-01,435,
1994-02,405,
1994-03,455,
1994-04,396,
1994-05,408,
1994-06,522,
1994-07,363,
1994-08,323,
1994-09,401,
1994-10,367,
1994-11,408,
1994-12,480,
1995-01,535,
1995-02,464,
1995-03,510,
1995-04,404,
1995-05,365,
1995-06,378,
1995-07,273,
1995-08,286,
1995-09,257,
1995-10,313,
1995-11,290,
1995-12,347,
1996-01,346,
1996-02,346,
1996-03,387,
1996-04,418,
1996-05,419,
1996-06,458,
1996-07,421,
1996-08,366,
1996-09,401,
1996-10,419,
1996-11,374,
1996-12,417,
1997-01,374,
1997-02,418,
1997-03,418,
1997-04,459,
1997-05,468,
1997-06,444,
1997-07,474,
1997-08,474,
1997-09,448,
1997-10,542,
1997-11,486,
1997-12,459,
1998-01,442,
1998-02,534,
1998-03,624,
1998-04,695,
1998-05,804,
1998-06,833,
1998-07,654,
1998-08,733,
1998-09,821,
1998-10,729,
1998-11,749,
1998-12,760,
1999-01,811,
1999-02,678,
1999-03,593,
1999-04,708,
1999-05,736,
1999-06,723,
1999-07,702,
1999-08,680,
1999-09,837,
1999-10,698,
1999-11,728,
1999-12,724,
2000-01,894,
2000-02,821,
2000-03,883,
2000-04,1749,
2000-05,1805,
2000-06,1196,
2000-07,1232,
2000-08,1032,
2000-09,1293,
2000-10,963,
2000-11,1553,
2000-12,1429,
2001-01,1052,
2001-02,1193,
2001-03,1264,
2001-04,1103,
2001-05,1217,
2001-06,1332,
2001-07,1247,
2001-08,1286,
2001-09,1132,
2001-10,1192,
2001-11,1090,
2001-12,1131,
2002-01,1244,
2002-02,1160,
2002-03,1024,
2002-04,1073,
2002-05,1329,
2002-06,1555,
2002-07,1435,
2002-08,1387,
2002-09,1275,
2002-10,1154,
2002-11,1176,
2002-12,1195,
2003-01,1239,
2003-02,1191,
2003-03,1071,
2003-04,1092,
2003-05,1177,
2003-06,1366,
2003-07,1255,
2003-08,1430,
2003-09,1465,
2003-10,1423,
2003-11,1537,
2003-12,1533,
2004-01,1450,
2004-02,1614,
2004-03,1627,
2004-04,1626,
2004-05,1590,
2004-06,1550,
2004-07,1822,
2004-08,1725,
2004-09,1753,
2004-10,1607,
2004-11,1608,
2004-12,1559,
2005-01,1647,
2005-02,1563,
2005-03,1202,
2005-04,1353,
2005-05,1497,
2005-06,1809,
2005-07,1993,
2005-08,1888,
2005-09,2031,
2005-10,2221,
2005-11,1994,
2005-12,1850,
2006-01,1976,
2006-02,2007,
2006-03,1831,
2006-04,2028,
2006-05,2089,
2006-06,2171,
2006-07,1866,
2006-08,1618,
2006-09,1596,
2006-10,1672,
2006-11,2206,
2006-12,2371,
2007-01,2239,
2007-02,1797,
2007-03,1674,
2007-04,2032,
2007-05,2034,
2007-06,2297,
2007-07,2062,
2007-08,2104,
2007-09,2696,
2007-10,3146,
2007-11,3234,
2007-12,3499,
2008-01,3015,
2008-02,3316,
2008-03,3245,
2008-04,3338,
2008-05,3383,
2008-06,3470,
2008-07,3695,
2008-08,5241,
2008-09,4418,
2008-10,4655,
2008-11,4939,
2008-12,5073,
2009-01,4673,
2009-02,4620,
2009-03,4196,
2009-04,3662,
2009-05,2704,
2009-06,2743,
2009-07,2487,
2009-08,2245,
2009-09,2145,
2009-10,2132,
2009-11,1916,
2009-12,2076,
2010-01,2379,
2010-02,2190,
2010-03,1766,
2010-04,1986,
2010-05,2134,
2010-06,2229,
2010-07,1983,
2010-08,2394,
2010-09,2428,
2010-10,2386,
2010-11,2774,
2010-12,2489,
2011-01,2828,
2011-02,2827,
2011-03,2812,
2011-04,2620,
2011-05,2795,
2011-06,3146,
2011-07,3046,
2011-08,3257,
2011-09,3756,
2011-10,3692,
2011-11,3656,
2011-12,3197,
2012-01,3391,
2012-02,2683,
2012-03,2749,
2012-04,2517,
2012-05,2700,
2012-06,2671,
2012-07,2413,
2012-08,2444,
2012-09,2553,
2012-10,2547,
2012-11,2660,
2012-12,2952,
2013-01,3366,
2013-02,3972,
2013-03,3812,
2013-04,4192,
2013-05,4179,
2013-06,3821,
2013-07,5041,
2013-08,4798,
2013-09,5524,
2013-10,7144,
2013-11,3519,
2013-12,3672,
2014-01,4175,
2014-02,5400,
2014-03,4967,
2014-04,4524,
2014-05,4694,
2014-06,3925,
2014-07,4273,
2014-08,5660,
2014-09,3993,
2014-10,3948,
2014-11,3635,
