"",BBK01.OEYO04G,BBK01.OEYO04G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:12:43,
2002-01,0.075,
2002-04,-0.073,
2002-07,0.081,
2002-10,0.058,
2003-01,0.141,
2003-04,0.136,
2003-07,-0.011,
2003-10,-0.201,
2004-01,-0.007,
2004-04,-0.043,
2004-07,0.036,
2004-10,-0.139,
2005-01,0.015,
2005-04,0.048,
2005-07,0.081,
2005-10,-0.062,
2006-01,-0.047,
2006-04,-0.193,
2006-07,-0.191,
2006-10,-0.500,
2007-01,-0.178,
2007-04,-0.446,
2007-07,-0.350,
2007-10,-0.334,
2008-01,-0.190,
2008-04,-0.379,
2008-07,-0.302,
2008-10,-0.310,
2009-01,0.364,
2009-04,0.109,
2009-07,0.233,
2009-10,0.456,
2010-01,0.084,
2010-04,0.028,
2010-07,0.111,
2010-10,0.069,
2011-01,0.083,
2011-04,-0.178,
2011-07,-0.016,
2011-10,-0.273,
2012-01,0.192,
2012-04,0.061,
2012-07,-0.010,
2012-10,0.075,
2013-01,-0.021,
2013-04,0.095,
2013-07,-0.006,
2013-10,-0.127,
2014-01,-0.003,
2014-04,0.058,
2014-07,-0.035,
