"",BBK01.CELO0J,BBK01.CELO0J_FLAGS
"",Other deposits  debtor: Total            creditor: Households,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:45:39,
1999-01,1.1,
1999-04,-12.3,
1999-07,-7.9,
1999-10,0.2,
2000-01,-17.1,
2000-04,-13.8,
2000-07,-11.6,
2000-10,7.4,
2001-01,6.3,
2001-04,1.4,
2001-07,4.3,
2001-10,5.2,
2002-01,-3.2,
2002-04,-10.9,
2002-07,2.4,
2002-10,8.4,
2003-01,1.1,
2003-04,-6.6,
2003-07,-0.7,
2003-10,0.1,
2004-01,1.1,
2004-04,-3.9,
2004-07,0.9,
2004-10,6.6,
2005-01,-0.1,
2005-04,-4.0,
2005-07,-4.2,
2005-10,2.8,
2006-01,7.0,
2006-04,1.8,
2006-07,7.6,
2006-10,5.2,
2007-01,8.1,
2007-04,2.9,
2007-07,12.6,
2007-10,19.6,
2008-01,10.1,
2008-04,11.0,
2008-07,12.3,
2008-10,37.4,
2009-01,-37.6,
2009-04,-19.7,
2009-07,-21.5,
2009-10,-15.5,
2010-01,-3.4,
2010-04,-4.4,
2010-07,-1.9,
2010-10,12.9,
2011-01,8.6,
2011-04,5.1,
2011-07,4.2,
2011-10,8.3,
2012-01,7.7,
2012-04,-3.1,
2012-07,-8.2,
2012-10,-12.1,
2013-01,-12.3,
2013-04,-11.5,
2013-07,-10.0,
2013-10,0.1,
2014-01,-0.7,
2014-04,-4.2,
2014-07,1.1,
