"",BBSF2.M.1.T.00000.TOT01.I.F.GMP.Z5.00000.F33100.Z01.B1,BBSF2.M.1.T.00000.TOT01.I.F.GMP.Z5.00000.F33100.Z01.B1_FLAGS
"",Funds total / Funds total / Short-term debt securities,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:38:09,
1993-01,.,No value available
1993-02,.,No value available
1993-03,.,No value available
1993-04,1758,
1993-05,1543,
1993-06,1251,
1993-07,1167,
1993-08,1304,
1993-09,1132,
1993-10,1294,
1993-11,1536,
1993-12,476,
1994-01,612,
1994-02,491,
1994-03,667,
1994-04,543,
1994-05,1043,
1994-06,1115,
1994-07,840,
1994-08,854,
1994-09,1192,
1994-10,1010,
1994-11,609,
1994-12,372,
1995-01,362,
1995-02,370,
1995-03,667,
1995-04,875,
1995-05,1194,
1995-06,1403,
1995-07,1168,
1995-08,1036,
1995-09,605,
1995-10,450,
1995-11,221,
1995-12,313,
1996-01,527,
1996-02,616,
1996-03,878,
1996-04,579,
1996-05,506,
1996-06,789,
1996-07,759,
1996-08,790,
1996-09,630,
1996-10,655,
1996-11,549,
1996-12,758,
1997-01,830,
1997-02,962,
1997-03,1109,
1997-04,971,
1997-05,1157,
1997-06,961,
1997-07,693,
1997-08,825,
1997-09,901,
1997-10,928,
1997-11,1014,
1997-12,1114,
1998-01,1183,
1998-02,1143,
1998-03,1180,
1998-04,1221,
1998-05,795,
1998-06,875,
1998-07,863,
1998-08,996,
1998-09,794,
1998-10,797,
1998-11,886,
1998-12,1017,
1999-01,638,
1999-02,601,
1999-03,1082,
1999-04,1062,
1999-05,824,
1999-06,655,
1999-07,620,
1999-08,876,
1999-09,689,
1999-10,933,
1999-11,687,
1999-12,846,
2000-01,712,
2000-02,716,
2000-03,701,
2000-04,687,
2000-05,835,
2000-06,911,
2000-07,928,
2000-08,1021,
2000-09,913,
2000-10,882,
2000-11,743,
2000-12,555,
2001-01,672,
2001-02,675,
2001-03,601,
2001-04,632,
2001-05,566,
2001-06,591,
2001-07,497,
2001-08,505,
2001-09,489,
2001-10,590,
2001-11,431,
2001-12,792,
2002-01,344,
2002-02,639,
2002-03,454,
2002-04,412,
2002-05,578,
2002-06,453,
2002-07,658,
2002-08,590,
2002-09,752,
2002-10,726,
2002-11,504,
2002-12,376,
2003-01,603,
2003-02,393,
2003-03,754,
2003-04,688,
2003-05,677,
2003-06,734,
2003-07,756,
2003-08,816,
2003-09,946,
2003-10,847,
2003-11,850,
2003-12,683,
2004-01,668,
2004-02,639,
2004-03,638,
2004-04,681,
2004-05,782,
2004-06,780,
2004-07,673,
2004-08,841,
2004-09,990,
2004-10,851,
2004-11,734,
2004-12,862,
2005-01,802,
2005-02,1106,
2005-03,1230,
2005-04,1470,
2005-05,1801,
2005-06,1612,
2005-07,1533,
2005-08,2081,
2005-09,1425,
2005-10,911,
2005-11,978,
2005-12,1274,
2006-01,918,
2006-02,678,
2006-03,852,
2006-04,861,
2006-05,1241,
2006-06,1622,
2006-07,1550,
2006-08,1492,
2006-09,1768,
2006-10,1657,
2006-11,1652,
2006-12,1626,
2007-01,1860,
2007-02,2025,
2007-03,2024,
2007-04,2232,
2007-05,1907,
2007-06,2315,
2007-07,2739,
2007-08,3133,
2007-09,3109,
2007-10,4509,
2007-11,4347,
2007-12,6245,
2008-01,5217,
2008-02,5057,
2008-03,4722,
2008-04,4867,
2008-05,5155,
2008-06,5236,
2008-07,5905,
2008-08,6144,
2008-09,6276,
2008-10,4199,
2008-11,4072,
2008-12,3531,
2009-01,3035,
2009-02,3024,
2009-03,2781,
2009-04,2690,
2009-05,2420,
2009-06,2083,
2009-07,2143,
2009-08,2132,
2009-09,11854,
2009-10,11697,
2009-11,11679,
2009-12,7188,
2010-01,10084,
2010-02,9215,
2010-03,7963,
2010-04,8169,
2010-05,8722,
2010-06,8752,
2010-07,8762,
2010-08,8998,
2010-09,8688,
2010-10,8159,
2010-11,8846,
2010-12,9468,
2011-01,7660,
2011-02,8115,
2011-03,7991,
2011-04,8132,
2011-05,8342,
2011-06,8513,
2011-07,8795,
2011-08,8256,
2011-09,8747,
2011-10,8365,
2011-11,8616,
2011-12,8769,
2012-01,8345,
2012-02,8197,
2012-03,8129,
2012-04,9107,
2012-05,8602,
2012-06,8676,
2012-07,8115,
2012-08,8182,
2012-09,7349,
2012-10,7227,
2012-11,6401,
2012-12,6210,
2013-01,6059,
2013-02,6621,
2013-03,6892,
2013-04,7829,
2013-05,7975,
2013-06,9008,
2013-07,9086,
2013-08,8996,
2013-09,8632,
2013-10,9047,
2013-11,7659,
2013-12,7026,
2014-01,7308,
2014-02,9482,
2014-03,9579,
2014-04,9502,
2014-05,10520,
2014-06,10302,
2014-07,10795,
2014-08,9320,
2014-09,8779,
2014-10,7232,
2014-11,6670,
