"",BBFN1.M.DE.N.1.A.KZ.S1P.F0.T.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.KZ.S1P.F0.T.BN00.Z01.BGA.X001.D_FLAGS
"",Claims of enterprises on non-residents arising from financial operations / Total / Kazakhstan,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:26:54,
1995-01,0.004,
1995-02,0.005,
1995-03,0.006,
1995-04,0.005,
1995-05,0.005,
1995-06,0.006,
1995-07,0.006,
1995-08,0.007,
1995-09,0.016,
1995-10,0.016,
1995-11,0.014,
1995-12,0.014,
1996-01,0.014,
1996-02,0.014,
1996-03,0.015,
1996-04,0.016,
1996-05,0.017,
1996-06,0.018,
1996-07,0.019,
1996-08,0.020,
1996-09,0.020,
1996-10,0.022,
1996-11,0.024,
1996-12,0.024,
1997-01,0.025,
1997-02,0.025,
1997-03,0.024,
1997-04,0.028,
1997-05,0.028,
1997-06,0.030,
1997-07,0.035,
1997-08,0.038,
1997-09,0.055,
1997-10,0.060,
1997-11,0.066,
1997-12,0.071,
1998-01,0.075,
1998-02,0.075,
1998-03,0.071,
1998-04,0.071,
1998-05,0.076,
1998-06,0.077,
1998-07,0.100,
1998-08,0.106,
1998-09,0.104,
1998-10,0.112,
1998-11,0.114,
1998-12,0.122,
1999-01,0.121,
1999-02,0.119,
1999-03,0.119,
1999-04,0.122,
1999-05,0.120,
1999-06,0.118,
1999-07,0.122,
1999-08,0.126,
1999-09,0.125,
1999-10,0.127,
1999-11,0.130,
1999-12,0.138,
2000-01,0.139,
2000-02,0.139,
2000-03,0.142,
2000-04,0.142,
2000-05,0.143,
2000-06,0.149,
2000-07,0.162,
2000-08,0.166,
2000-09,0.171,
2000-10,0.172,
2000-11,0.171,
2000-12,0.175,
2001-01,0.195,
2001-02,0.195,
2001-03,0.197,
2001-04,0.235,
2001-05,0.225,
2001-06,0.209,
2001-07,0.204,
2001-08,0.203,
2001-09,0.214,
2001-10,0.212,
2001-11,0.204,
2001-12,0.209,
2002-01,0.201,
2002-02,0.200,
2002-03,0.192,
2002-04,0.165,
2002-05,0.169,
2002-06,0.171,
2002-07,0.174,
2002-08,0.175,
2002-09,0.178,
2002-10,0.173,
2002-11,0.172,
2002-12,0.146,
2003-01,0.147,
2003-02,0.140,
2003-03,0.139,
2003-04,0.141,
2003-05,0.138,
2003-06,0.129,
2003-07,0.129,
2003-08,0.130,
2003-09,0.129,
2003-10,0.147,
2003-11,0.148,
2003-12,0.145,
2004-01,0.067,
2004-02,0.068,
2004-03,0.071,
2004-04,0.071,
2004-05,0.070,
2004-06,0.056,
2004-07,0.038,
2004-08,0.043,
2004-09,0.044,
2004-10,0.041,
2004-11,0.042,
2004-12,0.044,
2005-01,0.045,
2005-02,0.058,
2005-03,0.060,
2005-04,0.076,
2005-05,0.078,
2005-06,0.080,
2005-07,0.081,
2005-08,0.083,
2005-09,0.081,
2005-10,0.077,
2005-11,0.078,
2005-12,0.077,
2006-01,0.076,
2006-02,0.075,
2006-03,0.074,
2006-04,0.074,
2006-05,0.073,
2006-06,0.070,
2006-07,0.069,
2006-08,0.069,
2006-09,0.071,
2006-10,0.069,
2006-11,0.071,
2006-12,0.068,
2007-01,0.064,
2007-02,0.062,
2007-03,0.065,
2007-04,0.068,
2007-05,0.066,
2007-06,0.099,
2007-07,0.100,
2007-08,0.101,
2007-09,0.127,
2007-10,0.142,
2007-11,0.140,
2007-12,0.169,
2008-01,0.189,
2008-02,0.196,
2008-03,0.181,
2008-04,0.200,
2008-05,0.229,
2008-06,0.245,
2008-07,0.252,
2008-08,0.264,
2008-09,0.297,
2008-10,0.302,
2008-11,0.303,
2008-12,0.302,
2009-01,0.298,
2009-02,0.302,
2009-03,0.308,
2009-04,0.295,
2009-05,0.292,
2009-06,0.286,
2009-07,0.284,
2009-08,0.262,
2009-09,0.281,
2009-10,0.283,
2009-11,0.271,
2009-12,0.277,
2010-01,0.277,
2010-02,0.273,
2010-03,0.260,
2010-04,0.245,
2010-05,0.242,
2010-06,0.262,
2010-07,0.259,
2010-08,0.218,
2010-09,0.181,
2010-10,0.182,
2010-11,0.183,
2010-12,0.184,
2011-01,0.183,
2011-02,0.169,
2011-03,0.174,
2011-04,0.171,
2011-05,0.175,
2011-06,0.217,
2011-07,0.208,
2011-08,0.203,
2011-09,0.219,
2011-10,0.224,
2011-11,0.225,
2011-12,0.234,
2012-01,0.245,
2012-02,0.266,
2012-03,0.267,
2012-04,0.285,
2012-05,0.299,
2012-06,0.292,
2012-07,0.249,
2012-08,0.250,
2012-09,0.218,
2012-10,0.211,
2012-11,0.210,
2012-12,0.188,
2013-01,0.177,
2013-02,0.182,
2013-03,0.183,
2013-04,0.179,
2013-05,0.176,
2013-06,0.169,
2013-07,0.169,
2013-08,0.182,
2013-09,0.166,
2013-10,0.163,
2013-11,0.170,
2013-12,0.145,
2014-01,0.138,
2014-02,0.131,
2014-03,0.138,
2014-04,0.140,
2014-05,0.159,
2014-06,0.169,
2014-07,0.163,
2014-08,0.157,
2014-09,0.160,
2014-10,0.162,
2014-11,0.165,
2014-12,0.175,
