"",BBK01.OEYB12U,BBK01.OEYB12U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:41:54,
2002-01,1.166,
2002-04,1.188,
2002-07,1.205,
2002-10,1.241,
2003-01,1.204,
2003-04,1.224,
2003-07,1.229,
2003-10,1.220,
2004-01,1.214,
2004-04,0.811,
2004-07,0.850,
2004-10,0.848,
2005-01,0.848,
2005-04,0.841,
2005-07,0.848,
2005-10,0.858,
2006-01,0.856,
2006-04,0.855,
2006-07,0.876,
2006-10,0.897,
2007-01,0.912,
2007-04,0.986,
2007-07,0.987,
2007-10,0.998,
2008-01,1.004,
2008-04,1.025,
2008-07,1.022,
2008-10,0.948,
2009-01,0.897,
2009-04,0.903,
2009-07,0.902,
2009-10,0.891,
2010-01,0.902,
2010-04,0.899,
2010-07,0.892,
2010-10,0.881,
2011-01,0.900,
2011-04,0.936,
2011-07,0.917,
2011-10,0.902,
2012-01,0.875,
2012-04,0.864,
2012-07,0.891,
2012-10,0.859,
2013-01,0.858,
2013-04,0.985,
2013-07,0.976,
2013-10,0.981,
2014-01,1.228,
2014-04,1.339,
2014-07,1.331,
