"",BBK01.OEAH64T,BBK01.OEAH64T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:31:00,
2002-01,1.650,
2002-04,1.677,
2002-07,1.683,
2002-10,1.693,
2003-01,1.688,
2003-04,1.649,
2003-07,1.633,
2003-10,1.634,
2004-01,1.629,
2004-04,1.635,
2004-07,1.591,
2004-10,1.582,
2005-01,1.540,
2005-04,1.518,
2005-07,1.461,
2005-10,1.479,
2006-01,1.474,
2006-04,1.478,
2006-07,1.490,
2006-10,1.495,
2007-01,1.493,
2007-04,1.507,
2007-07,1.542,
2007-10,1.653,
2008-01,1.708,
2008-04,1.737,
2008-07,1.775,
2008-10,1.751,
2009-01,1.704,
2009-04,1.612,
2009-07,1.507,
2009-10,1.421,
2010-01,1.404,
2010-04,1.391,
2010-07,1.374,
2010-10,1.365,
2011-01,1.387,
2011-04,1.422,
2011-07,1.424,
2011-10,1.476,
2012-01,1.455,
2012-04,1.437,
2012-07,1.377,
2012-10,1.269,
2013-01,1.123,
2013-04,1.067,
2013-07,1.011,
2013-10,0.987,
2014-01,0.940,
2014-04,0.877,
2014-07,0.827,
