"",BBK01.OECM01O,BBK01.OECM01O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:40:24,
2002-01,0.362,
2002-04,0.480,
2002-07,0.485,
2002-10,0.441,
2003-01,0.504,
2003-04,0.481,
2003-07,0.447,
2003-10,0.404,
2004-01,0.346,
2004-04,0.376,
2004-07,0.358,
2004-10,0.337,
2005-01,0.303,
2005-04,0.223,
2005-07,0.205,
2005-10,0.172,
2006-01,0.133,
2006-04,0.137,
2006-07,0.134,
2006-10,0.137,
2007-01,0.132,
2007-04,0.155,
2007-07,0.186,
2007-10,0.251,
2008-01,0.272,
2008-04,0.334,
2008-07,0.407,
2008-10,0.451,
2009-01,0.468,
2009-04,0.429,
2009-07,0.351,
2009-10,0.204,
2010-01,0.154,
2010-04,0.140,
2010-07,0.158,
2010-10,0.135,
2011-01,0.192,
2011-04,0.208,
2011-07,0.212,
2011-10,0.254,
2012-01,0.328,
2012-04,0.176,
2012-07,0.248,
2012-10,0.212,
2013-01,0.172,
2013-04,0.217,
2013-07,0.187,
2013-10,0.156,
2014-01,0.104,
2014-04,0.108,
2014-07,0.124,
