"",BBK01.OEAC17Q,BBK01.OEAC17Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:51:27,
2002-01,1.078,
2002-04,1.046,
2002-07,1.024,
2002-10,0.968,
2003-01,0.996,
2003-04,0.973,
2003-07,1.109,
2003-10,1.068,
2004-01,1.008,
2004-04,0.801,
2004-07,0.861,
2004-10,0.752,
2005-01,0.824,
2005-04,0.844,
2005-07,0.833,
2005-10,0.763,
2006-01,0.735,
2006-04,0.808,
2006-07,0.966,
2006-10,0.700,
2007-01,0.758,
2007-04,0.751,
2007-07,0.708,
2007-10,0.748,
2008-01,0.778,
2008-04,0.744,
2008-07,0.830,
2008-10,0.814,
2009-01,0.863,
2009-04,0.734,
2009-07,0.712,
2009-10,0.613,
2010-01,0.751,
2010-04,0.666,
2010-07,0.689,
2010-10,0.587,
2011-01,0.585,
2011-04,0.569,
2011-07,0.541,
2011-10,0.540,
2012-01,0.598,
2012-04,0.655,
2012-07,0.633,
2012-10,0.653,
2013-01,0.779,
2013-04,0.642,
2013-07,0.669,
2013-10,0.610,
2014-01,0.641,
2014-04,0.623,
2014-07,0.587,
