"",BBK01.OEAH75O,BBK01.OEAH75O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:28:15,
2002-01,-0.188,
2002-04,-0.189,
2002-07,-0.184,
2002-10,-0.154,
2003-01,-0.192,
2003-04,-0.234,
2003-07,-0.237,
2003-10,-0.218,
2004-01,-0.196,
2004-04,-0.174,
2004-07,0.134,
2004-10,0.124,
2005-01,0.118,
2005-04,0.114,
2005-07,0.105,
2005-10,0.085,
2006-01,0.087,
2006-04,0.109,
2006-07,0.148,
2006-10,0.131,
2007-01,0.124,
2007-04,0.343,
2007-07,0.354,
2007-10,0.359,
2008-01,0.358,
2008-04,0.253,
2008-07,0.137,
2008-10,0.124,
2009-01,0.121,
2009-04,0.129,
2009-07,0.137,
2009-10,0.172,
2010-01,0.163,
2010-04,0.154,
2010-07,0.152,
2010-10,0.159,
2011-01,0.163,
2011-04,0.140,
2011-07,0.157,
2011-10,0.147,
2012-01,0.147,
2012-04,0.418,
2012-07,0.392,
2012-10,0.628,
2013-01,0.601,
2013-04,0.489,
2013-07,0.484,
2013-10,0.441,
2014-01,0.434,
2014-04,0.698,
2014-07,0.730,
