"",BBK01.OELJ09G,BBK01.OELJ09G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:04:09,
2002-01,0.038,
2002-04,0.040,
2002-07,0.041,
2002-10,0.044,
2003-01,0.039,
2003-04,0.035,
2003-07,0.032,
2003-10,0.037,
2004-01,0.041,
2004-04,0.042,
2004-07,0.037,
2004-10,0.045,
2005-01,0.038,
2005-04,0.048,
2005-07,0.051,
2005-10,0.049,
2006-01,0.052,
2006-04,0.061,
2006-07,0.060,
2006-10,0.067,
2007-01,0.069,
2007-04,0.060,
2007-07,0.055,
2007-10,0.051,
2008-01,0.048,
2008-04,0.036,
2008-07,0.034,
2008-10,0.035,
2009-01,0.046,
2009-04,0.064,
2009-07,0.078,
2009-10,0.091,
2010-01,0.105,
2010-04,0.106,
2010-07,0.101,
2010-10,0.091,
2011-01,0.072,
2011-04,0.069,
2011-07,0.058,
2011-10,0.056,
2012-01,0.059,
2012-04,0.057,
2012-07,0.058,
2012-10,0.061,
2013-01,0.069,
2013-04,0.146,
2013-07,0.185,
2013-10,0.098,
2014-01,0.102,
2014-04,0.104,
2014-07,0.103,
