"",BBK01.OEXJ06I,BBK01.OEXJ06I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:04:54,
2002-01,0.064,
2002-04,0.064,
2002-07,0.047,
2002-10,0.047,
2003-01,0.043,
2003-04,0.046,
2003-07,0.041,
2003-10,0.039,
2004-01,0.035,
2004-04,0.030,
2004-07,0.031,
2004-10,0.030,
2005-01,0.029,
2005-04,0.030,
2005-07,0.030,
2005-10,0.029,
2006-01,0.029,
2006-04,0.029,
2006-07,0.029,
2006-10,0.031,
2007-01,0.403,
2007-04,0.509,
2007-07,0.529,
2007-10,1.133,
2008-01,1.267,
2008-04,1.406,
2008-07,1.500,
2008-10,1.509,
2009-01,1.754,
2009-04,1.810,
2009-07,1.829,
2009-10,2.012,
2010-01,2.326,
2010-04,2.576,
2010-07,2.617,
2010-10,0.007,
2011-01,0.006,
2011-04,0.006,
2011-07,0.005,
2011-10,0.004,
2012-01,0.003,
2012-04,0.002,
2012-07,0.002,
2012-10,0.002,
2013-01,0.002,
2013-04,0.013,
2013-07,0.059,
2013-10,0.076,
2014-01,0.189,
2014-04,0.208,
2014-07,0.334,
