"",BBFB1.Q.N.DE.IE.S1.S1.T.C.IN2._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.IE.S1.S1.T.C.IN2._Z._Z._Z._T._X.N_FLAGS
"",Current account / Secondary income / Receipts / Ireland,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:28:38,
1991-01,145.140,
1991-04,146.153,
1991-07,142.133,
1991-10,147.871,
1992-01,62.753,
1992-04,64.128,
1992-07,67.097,
1992-10,68.418,
1993-01,162.036,
1993-04,169.070,
1993-07,172.682,
1993-10,174.589,
1994-01,83.339,
1994-04,85.406,
1994-07,82.956,
1994-10,84.664,
1995-01,136.841,
1995-04,138.515,
1995-07,137.707,
1995-10,137.229,
1996-01,104.175,
1996-04,107.825,
1996-07,107.056,
1996-10,108.332,
1997-01,90.364,
1997-04,91.776,
1997-07,88.508,
1997-10,83.882,
1998-01,36.821,
1998-04,38.019,
1998-07,38.615,
1998-10,43.294,
1999-01,225.327,
1999-04,245.126,
1999-07,266.150,
1999-10,248.535,
2000-01,158.431,
2000-04,159.276,
2000-07,172.565,
2000-10,221.379,
2001-01,377.361,
2001-04,425.038,
2001-07,406.788,
2001-10,439.404,
2002-01,136.554,
2002-04,153.324,
2002-07,150.115,
2002-10,172.644,
2003-01,46.155,
2003-04,51.067,
2003-07,79.417,
2003-10,57.743,
2004-01,18.521,
2004-04,15.330,
2004-07,14.470,
2004-10,18.818,
2005-01,254.544,
2005-04,278.737,
2005-07,253.189,
2005-10,244.299,
2006-01,35.242,
2006-04,55.267,
2006-07,38.013,
2006-10,25.418,
2007-01,19.174,
2007-04,63.175,
2007-07,54.135,
2007-10,53.702,
2008-01,86.853,
2008-04,69.648,
2008-07,86.407,
2008-10,67.271,
2009-01,73.300,
2009-04,91.365,
2009-07,71.676,
2009-10,60.216,
2010-01,147.901,
2010-04,167.208,
2010-07,158.875,
2010-10,178.408,
2011-01,138.262,
2011-04,256.304,
2011-07,131.327,
2011-10,136.896,
2012-01,217.978,
2012-04,234.016,
2012-07,233.126,
2012-10,230.155,
2013-01,240.753,
2013-04,238.428,
2013-07,255.134,
2013-10,259.905,
2014-01,487.969,Provisional value
2014-04,342.317,Provisional value
2014-07,324.023,Provisional value
