"",BBFB1.Q.N.DE.R12.S1.S1.T.A.FA.F.F7.T._T.T.N,BBFB1.Q.N.DE.R12.S1.S1.T.A.FA.F.F7.T._T.T.N_FLAGS
"",Financial account / Net domestic financial investment abroad / Financial derivates and employee stock options / Offshore financial centers,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:49:53,
1991-01,-3.413,
1991-04,0.345,
1991-07,-3.622,
1991-10,1.464,
1992-01,-2.849,
1992-04,3.321,
1992-07,7.510,
1992-10,1.652,
1993-01,-1.840,
1993-04,6.533,
1993-07,15.847,
1993-10,22.432,
1994-01,95.897,
1994-04,-83.597,
1994-07,21.268,
1994-10,-24.684,
1995-01,7.613,
1995-04,-21.359,
1995-07,51.047,
1995-10,117.611,
1996-01,-4.381,
1996-04,-82.420,
1996-07,33.434,
1996-10,47.187,
1997-01,-18.184,
1997-04,-36.877,
1997-07,-152.366,
1997-10,-55.357,
1998-01,32.778,
1998-04,-55.528,
1998-07,94.427,
1998-10,112.658,
1999-01,106.540,
1999-04,-1358.783,
1999-07,-2659.339,
1999-10,224.070,
2000-01,58.582,
2000-04,157.045,
2000-07,138.727,
2000-10,100.516,
2001-01,447.458,
2001-04,201.141,
2001-07,-32.656,
2001-10,-1902.149,
2002-01,85.034,
2002-04,-133.313,
2002-07,379.920,
2002-10,15.825,
2003-01,-94.179,
2003-04,-214.197,
2003-07,-178.497,
2003-10,-156.018,
2004-01,73.387,
2004-04,91.794,
2004-07,-1998.891,
2004-10,-189.207,
2005-01,263.069,
2005-04,-191.459,
2005-07,-365.599,
2005-10,114.888,
2006-01,-152.786,
2006-04,136.377,
2006-07,-230.300,
2006-10,25.748,
2007-01,-96.716,
2007-04,287.645,
2007-07,-606.709,
2007-10,265.064,
2008-01,-126.944,
2008-04,-278.852,
2008-07,-168.601,
2008-10,91.952,
2009-01,433.396,
2009-04,900.669,
2009-07,-122.318,
2009-10,111.708,
2010-01,-149.125,
2010-04,665.980,
2010-07,95.561,
2010-10,6.731,
2011-01,-61.939,
2011-04,-515.899,
2011-07,-18.685,
2011-10,127.929,
2012-01,52.937,
2012-04,-4.524,
2012-07,24.307,
2012-10,-184.114,
2013-01,23.815,
2013-04,135.286,
2013-07,61.257,
2013-10,-54.092,
2014-01,-129.548,
2014-04,-18.892,
2014-07,-109.002,
2014-10,-305.473,
