"",BBK01.OEAA49Q,BBK01.OEAA49Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:19:29,
2002-01,9.839,
2002-04,9.277,
2002-07,9.589,
2002-10,9.692,
2003-01,9.491,
2003-04,9.251,
2003-07,9.807,
2003-10,9.505,
2004-01,9.431,
2004-04,6.485,
2004-07,5.813,
2004-10,5.607,
2005-01,5.863,
2005-04,7.442,
2005-07,9.721,
2005-10,7.585,
2006-01,11.839,
2006-04,12.023,
2006-07,10.661,
2006-10,9.968,
2007-01,15.595,
2007-04,12.198,
2007-07,10.201,
2007-10,12.421,
2008-01,12.015,
2008-04,12.083,
2008-07,12.867,
2008-10,14.613,
2009-01,14.359,
2009-04,14.305,
2009-07,14.471,
2009-10,20.060,
2010-01,20.584,
2010-04,21.014,
2010-07,14.029,
2010-10,14.078,
2011-01,13.582,
2011-04,13.317,
2011-07,9.880,
2011-10,12.285,
2012-01,12.440,
2012-04,13.145,
2012-07,12.281,
2012-10,15.344,
2013-01,14.976,
2013-04,13.598,
2013-07,12.930,
2013-10,15.669,
2014-01,14.290,
2014-04,14.063,
2014-07,14.317,
