"",BBDE1.M.DE.Y.AED1.A2P300000.F.C.I10.A,BBDE1.M.DE.Y.AED1.A2P300000.F.C.I10.A_FLAGS
"","Orders received from abroad, Euro-area countries / At constant prices / Germany / Industry / Calendar and seasonally adjusted",
unit,2010=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-05 08:17:22,
2003-01,90.9,
2003-02,87.2,
2003-03,85.5,
2003-04,89.0,
2003-05,80.6,
2003-06,89.1,
2003-07,84.4,
2003-08,86.2,
2003-09,86.5,
2003-10,87.3,
2003-11,86.0,
2003-12,85.9,
2004-01,90.0,
2004-02,89.3,
2004-03,89.9,
2004-04,92.1,
2004-05,93.7,
2004-06,95.2,
2004-07,96.4,
2004-08,95.7,
2004-09,99.9,
2004-10,95.0,
2004-11,91.7,
2004-12,94.6,
2005-01,95.5,
2005-02,94.3,
2005-03,97.3,
2005-04,95.9,
2005-05,97.4,
2005-06,95.0,
2005-07,102.4,
2005-08,100.1,
2005-09,102.5,
2005-10,104.8,
2005-11,108.6,
2005-12,112.3,
2006-01,107.1,
2006-02,108.5,
2006-03,106.7,
2006-04,110.0,
2006-05,107.9,
2006-06,105.5,
2006-07,106.0,
2006-08,110.7,
2006-09,107.3,
2006-10,109.3,
2006-11,110.8,
2006-12,112.2,
2007-01,115.1,
2007-02,120.5,
2007-03,118.7,
2007-04,117.1,
2007-05,120.5,
2007-06,137.8,
2007-07,117.8,
2007-08,119.5,
2007-09,121.5,
2007-10,130.0,
2007-11,135.2,
2007-12,130.1,
2008-01,125.1,
2008-02,124.6,
2008-03,121.6,
2008-04,117.7,
2008-05,121.3,
2008-06,109.9,
2008-07,117.7,
2008-08,109.0,
2008-09,102.8,
2008-10,95.1,
2008-11,90.1,
2008-12,77.8,
2009-01,75.6,
2009-02,73.8,
2009-03,77.8,
2009-04,77.2,
2009-05,78.1,
2009-06,84.4,
2009-07,84.0,
2009-08,82.9,
2009-09,91.8,
2009-10,86.5,
2009-11,89.7,
2009-12,84.3,
2010-01,91.4,
2010-02,90.1,
2010-03,98.6,
2010-04,99.1,
2010-05,96.8,
2010-06,103.4,
2010-07,100.9,
2010-08,109.6,
2010-09,101.3,
2010-10,101.8,
2010-11,99.8,
2010-12,104.0,
2011-01,107.9,
2011-02,108.7,
2011-03,108.4,
2011-04,111.2,
2011-05,103.7,
2011-06,114.1,
2011-07,107.9,
2011-08,112.2,
2011-09,101.9,
2011-10,106.8,
2011-11,101.4,
2011-12,95.5,
2012-01,97.7,
2012-02,96.2,
2012-03,95.3,
2012-04,94.0,
2012-05,99.5,
2012-06,95.8,
2012-07,95.6,
2012-08,98.0,
2012-09,90.4,
2012-10,94.8,
2012-11,92.7,
2012-12,96.7,
2013-01,94.3,
2013-02,93.8,
2013-03,99.3,
2013-04,95.4,
2013-05,93.2,
2013-06,104.3,
2013-07,95.9,
2013-08,95.0,
2013-09,103.2,
2013-10,102.4,
2013-11,101.1,
2013-12,109.3,
2014-01,98.4,
2014-02,104.5,
2014-03,94.7,
2014-04,102.4,
2014-05,108.4,
2014-06,98.3,
2014-07,104.2,
2014-08,98.8,
2014-09,102.5,
2014-10,102.5,
2014-11,105.4,
2014-12,111.6,Provisional value
