"",BBK01.OEAC29N,BBK01.OEAC29N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:52:38,
2002-01,10.795,
2002-04,10.748,
2002-07,10.726,
2002-10,10.525,
2003-01,10.232,
2003-04,10.100,
2003-07,9.828,
2003-10,9.473,
2004-01,8.902,
2004-04,8.718,
2004-07,8.639,
2004-10,8.280,
2005-01,8.241,
2005-04,7.940,
2005-07,7.800,
2005-10,7.673,
2006-01,7.573,
2006-04,7.483,
2006-07,7.360,
2006-10,7.164,
2007-01,6.998,
2007-04,6.972,
2007-07,6.772,
2007-10,7.019,
2008-01,6.768,
2008-04,6.703,
2008-07,6.722,
2008-10,6.749,
2009-01,6.929,
2009-04,6.836,
2009-07,6.672,
2009-10,6.611,
2010-01,6.590,
2010-04,6.633,
2010-07,6.480,
2010-10,6.351,
2011-01,6.178,
2011-04,6.233,
2011-07,6.063,
2011-10,6.055,
2012-01,5.898,
2012-04,5.996,
2012-07,5.910,
2012-10,5.943,
2013-01,5.990,
2013-04,5.965,
2013-07,5.841,
2013-10,5.816,
2014-01,5.690,
2014-04,5.664,
2014-07,5.505,
