"",BBK01.OEBO03I,BBK01.OEBO03I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:13:02,
2002-01,1.118,
2002-04,1.416,
2002-07,0.780,
2002-10,0.700,
2003-01,0.915,
2003-04,0.821,
2003-07,0.664,
2003-10,0.605,
2004-01,0.842,
2004-04,0.630,
2004-07,0.622,
2004-10,0.549,
2005-01,0.975,
2005-04,0.873,
2005-07,0.999,
2005-10,0.833,
2006-01,1.111,
2006-04,1.026,
2006-07,0.978,
2006-10,1.100,
2007-01,1.428,
2007-04,1.164,
2007-07,1.148,
2007-10,1.380,
2008-01,1.563,
2008-04,1.396,
2008-07,1.368,
2008-10,1.610,
2009-01,1.579,
2009-04,1.272,
2009-07,1.390,
2009-10,1.747,
2010-01,1.695,
2010-04,1.110,
2010-07,1.628,
2010-10,1.065,
2011-01,1.398,
2011-04,1.186,
2011-07,1.110,
2011-10,1.036,
2012-01,1.240,
2012-04,0.987,
2012-07,2.178,
2012-10,1.004,
2013-01,1.263,
2013-04,0.951,
2013-07,0.847,
2013-10,0.701,
2014-01,0.698,
2014-04,0.654,
2014-07,0.665,
