"",BBK01.OEAH20L,BBK01.OEAH20L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:26:11,
2002-01,0.996,
2002-04,0.964,
2002-07,1.007,
2002-10,1.028,
2003-01,1.260,
2003-04,1.062,
2003-07,1.108,
2003-10,1.277,
2004-01,1.647,
2004-04,1.553,
2004-07,1.560,
2004-10,1.405,
2005-01,1.187,
2005-04,1.241,
2005-07,1.413,
2005-10,1.316,
2006-01,1.299,
2006-04,1.362,
2006-07,1.503,
2006-10,1.693,
2007-01,2.182,
2007-04,2.361,
2007-07,2.533,
2007-10,3.264,
2008-01,3.494,
2008-04,3.581,
2008-07,3.866,
2008-10,3.934,
2009-01,4.201,
2009-04,4.332,
2009-07,4.435,
2009-10,4.004,
2010-01,3.891,
2010-04,3.741,
2010-07,3.348,
2010-10,3.398,
2011-01,3.429,
2011-04,3.455,
2011-07,3.599,
2011-10,3.903,
2012-01,4.142,
2012-04,4.239,
2012-07,4.466,
2012-10,4.295,
2013-01,4.313,
2013-04,4.730,
2013-07,4.157,
2013-10,4.375,
2014-01,4.497,
2014-04,4.951,
2014-07,5.351,
