"",BBK01.OEAE10V,BBK01.OEAE10V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:06:36,
2002-01,2.333,
2002-04,2.462,
2002-07,2.345,
2002-10,2.504,
2003-01,2.311,
2003-04,2.235,
2003-07,2.056,
2003-10,2.117,
2004-01,1.924,
2004-04,1.985,
2004-07,1.902,
2004-10,1.802,
2005-01,1.707,
2005-04,1.739,
2005-07,1.645,
2005-10,1.579,
2006-01,1.608,
2006-04,1.461,
2006-07,1.406,
2006-10,1.335,
2007-01,1.277,
2007-04,1.265,
2007-07,1.185,
2007-10,1.220,
2008-01,1.110,
2008-04,1.061,
2008-07,1.096,
2008-10,1.123,
2009-01,1.035,
2009-04,0.887,
2009-07,0.813,
2009-10,0.781,
2010-01,0.817,
2010-04,0.794,
2010-07,0.700,
2010-10,0.673,
2011-01,0.639,
2011-04,0.641,
2011-07,0.606,
2011-10,0.587,
2012-01,0.590,
2012-04,0.624,
2012-07,0.638,
2012-10,0.590,
2013-01,0.605,
2013-04,0.595,
2013-07,0.557,
2013-10,0.550,
2014-01,0.546,
2014-04,0.577,
2014-07,0.552,
