"",BBK01.DU7803,BBK01.DU7803_FLAGS
"","Pay rates, overall economy, all items excluding one-off payments, on an hourly basis, Germany",
unit,2010=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-11 13:06:11,
1991-01,51.0,
1991-02,51.1,
1991-03,51.9,
1991-04,53.4,
1991-05,53.7,
1991-06,54.6,
1991-07,72.7,
1991-08,55.5,
1991-09,55.6,
1991-10,55.8,
1991-11,93.5,
1991-12,55.9,
1992-01,56.6,
1992-02,56.7,
1992-03,56.8,
1992-04,59.3,
1992-05,61.1,
1992-06,61.2,
1992-07,82.2,
1992-08,61.5,
1992-09,61.6,
1992-10,61.7,
1992-11,104.8,
1992-12,62.1,
1993-01,62.8,
1993-02,63.0,
1993-03,63.1,
1993-04,64.1,
1993-05,64.8,
1993-06,65.3,
1993-07,88.1,
1993-08,65.7,
1993-09,65.8,
1993-10,65.8,
1993-11,112.7,
1993-12,65.9,
1994-01,65.9,
1994-02,66.0,
1994-03,66.0,
1994-04,66.3,
1994-05,66.5,
1994-06,66.8,
1994-07,89.4,
1994-08,67.4,
1994-09,67.6,
1994-10,67.8,
1994-11,114.7,
1994-12,67.8,
1995-01,68.1,
1995-02,68.2,
1995-03,68.5,
1995-04,69.0,
1995-05,70.1,
1995-06,70.2,
1995-07,94.1,
1995-08,70.6,
1995-09,70.7,
1995-10,71.1,
1995-11,121.0,
1995-12,71.5,
1996-01,71.5,
1996-02,71.5,
1996-03,71.6,
1996-04,71.8,
1996-05,71.9,
1996-06,72.0,
1996-07,96.6,
1996-08,72.1,
1996-09,72.2,
1996-10,72.3,
1996-11,122.7,
1996-12,72.3,
1997-01,72.6,
1997-02,72.6,
1997-03,72.7,
1997-04,72.9,
1997-05,73.0,
1997-06,73.0,
1997-07,98.0,
1997-08,73.3,
1997-09,73.4,
1997-10,73.5,
1997-11,123.7,
1997-12,73.6,
1998-01,74.0,
1998-02,74.0,
1998-03,74.1,
1998-04,74.5,
1998-05,74.5,
1998-06,74.6,
1998-07,100.0,
1998-08,74.8,
1998-09,74.9,
1998-10,75.0,
1998-11,125.7,
1998-12,75.0,
1999-01,75.2,
1999-02,75.2,
1999-03,75.5,
1999-04,76.2,
1999-05,76.3,
1999-06,76.7,
1999-07,102.7,
1999-08,77.1,
1999-09,77.1,
1999-10,77.2,
1999-11,128.1,
1999-12,77.2,
2000-01,77.3,
2000-02,77.3,
2000-03,77.4,
2000-04,77.8,
2000-05,78.4,
2000-06,78.3,
2000-07,104.3,
2000-08,78.9,
2000-09,78.9,
2000-10,79.0,
2000-11,130.5,
2000-12,79.1,
2001-01,79.4,
2001-02,79.4,
2001-03,79.5,
2001-04,79.7,
2001-05,80.4,
2001-06,80.2,
2001-07,106.5,
2001-08,80.4,
2001-09,80.8,
2001-10,80.8,
2001-11,133.0,
2001-12,80.9,
2002-01,81.2,
2002-02,81.3,
2002-03,81.3,
2002-04,81.4,
2002-05,81.8,
2002-06,82.1,
2002-07,108.6,
2002-08,82.4,
2002-09,82.7,
2002-10,82.8,
2002-11,136.1,
2002-12,83.0,
2003-01,83.1,
2003-02,83.2,
2003-03,83.2,
2003-04,83.6,
2003-05,83.9,
2003-06,84.1,
2003-07,111.1,
2003-08,84.3,
2003-09,84.1,
2003-10,84.2,
2003-11,136.6,
2003-12,84.4,
2004-01,84.3,
2004-02,84.3,
2004-03,84.5,
2004-04,85.0,
2004-05,85.0,
2004-06,84.8,
2004-07,111.0,
2004-08,85.2,
2004-09,85.2,
2004-10,85.2,
2004-11,134.4,
2004-12,85.4,
2005-01,85.2,
2005-02,85.2,
2005-03,85.4,
2005-04,85.8,
2005-05,85.4,
2005-06,85.5,
2005-07,111.2,
2005-08,85.6,
2005-09,85.7,
2005-10,85.8,
2005-11,134.9,
2005-12,86.0,
2006-01,85.7,
2006-02,85.7,
2006-03,85.7,
2006-04,86.2,
2006-05,86.0,
2006-06,86.2,
2006-07,110.2,
2006-08,86.2,
2006-09,86.3,
2006-10,86.4,
2006-11,136.2,
2006-12,87.4,
2007-01,86.4,
2007-02,86.4,
2007-03,86.5,
2007-04,87.6,
2007-05,86.9,
2007-06,87.2,
2007-07,111.7,
2007-08,87.6,
2007-09,87.6,
2007-10,87.7,
2007-11,137.2,
2007-12,90.1,
2008-01,88.8,
2008-02,88.8,
2008-03,89.0,
2008-04,90.4,
2008-05,90.2,
2008-06,90.0,
2008-07,114.7,
2008-08,90.1,
2008-09,90.3,
2008-10,90.3,
2008-11,140.8,
2008-12,92.5,
2009-01,90.6,
2009-02,90.9,
2009-03,91.5,
2009-04,92.5,
2009-05,92.4,
2009-06,92.0,
2009-07,117.1,
2009-08,92.2,
2009-09,92.4,
2009-10,92.5,
2009-11,143.1,
2009-12,94.2,
2010-01,92.9,
2010-02,92.9,
2010-03,93.1,
2010-04,94.3,
2010-05,93.6,
2010-06,93.6,
2010-07,118.3,
2010-08,93.6,
2010-09,93.7,
2010-10,93.7,
2010-11,144.7,
2010-12,95.6,
2011-01,94.0,
2011-02,94.0,
2011-03,94.5,
2011-04,95.6,
2011-05,95.5,
2011-06,95.2,
2011-07,120.4,
2011-08,95.5,
2011-09,95.6,
2011-10,95.7,
2011-11,147.7,
2011-12,97.9,
2012-01,96.4,
2012-02,96.5,
2012-03,97.0,
2012-04,98.1,
2012-05,99.0,
2012-06,98.0,
2012-07,123.8,
2012-08,98.4,
2012-09,98.5,
2012-10,98.6,
2012-11,152.1,
2012-12,101.0,
2013-01,99.4,
2013-02,99.4,
2013-03,99.4,
2013-04,100.5,
2013-05,100.9,
2013-06,99.8,
2013-07,126.3,
2013-08,100.9,
2013-09,100.9,
2013-10,100.9,
2013-11,155.7,
2013-12,103.6,
2014-01,101.8,
2014-02,101.9,
2014-03,102.5,
2014-04,103.7,
2014-05,104.2,
2014-06,103.4,
2014-07,130.1,
2014-08,103.7,
2014-09,103.7,
2014-10,103.9,
2014-11,160.1,
2014-12,106.4,
