"",BBK01.OEHM05K,BBK01.OEHM05K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:41:51,
2002-01,0.196,
2002-04,0.193,
2002-07,0.188,
2002-10,0.187,
2003-01,0.187,
2003-04,0.186,
2003-07,0.080,
2003-10,0.090,
2004-01,0.105,
2004-04,0.038,
2004-07,0.085,
2004-10,0.120,
2005-01,0.129,
2005-04,0.129,
2005-07,0.142,
2005-10,0.180,
2006-01,0.180,
2006-04,0.178,
2006-07,0.178,
2006-10,0.172,
2007-01,0.165,
2007-04,0.165,
2007-07,0.162,
2007-10,0.157,
2008-01,0.157,
2008-04,0.155,
2008-07,0.155,
2008-10,0.155,
2009-01,0.148,
2009-04,0.158,
2009-07,0.158,
2009-10,0.158,
2010-01,0.158,
2010-04,0.163,
2010-07,0.137,
2010-10,0.097,
2011-01,0.092,
2011-04,0.097,
2011-07,0.115,
2011-10,0.105,
2012-01,0.108,
2012-04,0.057,
2012-07,0.057,
2012-10,0.042,
2013-01,0.042,
2013-04,0.042,
2013-07,0.087,
2013-10,0.087,
2014-01,0.087,
2014-04,0.066,
2014-07,0.039,
