"",BBK01.CEFR02,BBK01.CEFR02_FLAGS
"",long-term time deposits                                      debtor: Total           creditor: Domestic financial corporations,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:33:57,
1999-01,1014.6,
1999-04,1049.7,
1999-07,1093.0,
1999-10,1125.0,
2000-01,1156.6,
2000-04,1169.7,
2000-07,1189.3,
2000-10,1190.8,
2001-01,1207.9,
2001-04,1220.7,
2001-07,1229.6,
2001-10,1238.4,
2002-01,1251.6,
2002-04,1243.6,
2002-07,1248.3,
2002-10,1255.1,
2003-01,1259.4,
2003-04,1264.9,
2003-07,1267.9,
2003-10,1275.5,
2004-01,1279.5,
2004-04,1289.0,
2004-07,1294.3,
2004-10,1297.3,
2005-01,1319.6,
2005-04,1351.3,
2005-07,1365.7,
2005-10,1375.2,
2006-01,1401.2,
2006-04,1427.5,
2006-07,1446.3,
2006-10,1474.5,
2007-01,1491.1,
2007-04,1523.1,
2007-07,1555.4,
2007-10,1590.8,
2008-01,1638.5,
2008-04,1669.8,
2008-07,1727.0,
2008-10,1762.5,
2009-01,1781.4,
2009-04,1796.3,
2009-07,1773.9,
2009-10,1754.5,
2010-01,1758.5,
2010-04,1764.7,
2010-07,1733.9,
2010-10,1727.3,
2011-01,1713.2,
2011-04,1720.7,
2011-07,1732.5,
2011-10,1770.8,
2012-01,1772.6,
2012-04,1752.9,
2012-07,1735.2,
2012-10,1700.7,
2013-01,1640.4,
2013-04,1612.9,
2013-07,1593.5,
2013-10,1562.5,
2014-01,1530.1,
2014-04,1522.4,
2014-07,1535.6,
