"",BBK01.OEAI05P,BBK01.OEAI05P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:51:33,
2002-01,2.233,
2002-04,2.192,
2002-07,2.346,
2002-10,2.464,
2003-01,2.577,
2003-04,2.579,
2003-07,2.685,
2003-10,2.807,
2004-01,2.794,
2004-04,2.867,
2004-07,3.074,
2004-10,3.168,
2005-01,3.366,
2005-04,3.429,
2005-07,3.539,
2005-10,3.548,
2006-01,3.581,
2006-04,3.530,
2006-07,3.606,
2006-10,3.682,
2007-01,3.647,
2007-04,3.649,
2007-07,3.637,
2007-10,3.639,
2008-01,3.599,
2008-04,3.575,
2008-07,3.566,
2008-10,3.531,
2009-01,3.498,
2009-04,3.030,
2009-07,2.985,
2009-10,2.865,
2010-01,2.836,
2010-04,2.820,
2010-07,2.786,
2010-10,2.753,
2011-01,2.837,
2011-04,2.780,
2011-07,2.894,
2011-10,2.910,
2012-01,2.962,
2012-04,2.955,
2012-07,2.953,
2012-10,3.031,
2013-01,3.043,
2013-04,2.989,
2013-07,2.959,
2013-10,2.920,
2014-01,2.946,
2014-04,3.094,
2014-07,3.072,
