"",BBK01.OEXB03Q,BBK01.OEXB03Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:36:36,
2002-01,0.623,
2002-04,0.604,
2002-07,0.603,
2002-10,0.568,
2003-01,0.632,
2003-04,0.628,
2003-07,0.506,
2003-10,0.499,
2004-01,0.509,
2004-04,0.521,
2004-07,0.457,
2004-10,0.319,
2005-01,0.322,
2005-04,0.334,
2005-07,0.337,
2005-10,0.344,
2006-01,0.336,
2006-04,0.349,
2006-07,0.369,
2006-10,0.404,
2007-01,0.412,
2007-04,0.400,
2007-07,0.393,
2007-10,0.429,
2008-01,0.544,
2008-04,0.565,
2008-07,0.585,
2008-10,0.485,
2009-01,0.475,
2009-04,0.301,
2009-07,0.263,
2009-10,0.254,
2010-01,0.230,
2010-04,0.231,
2010-07,0.231,
2010-10,0.229,
2011-01,0.224,
2011-04,0.215,
2011-07,0.216,
2011-10,0.210,
2012-01,0.213,
2012-04,0.201,
2012-07,0.190,
2012-10,0.181,
2013-01,0.176,
2013-04,0.172,
2013-07,0.176,
2013-10,0.160,
2014-01,0.152,
2014-04,0.157,
2014-07,0.156,
