"",BBK01.CEB70C,BBK01.CEB70C_FLAGS
"",Other claims\ndebtor: All sectors                      creditor:  General Government,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:23:17,
1991-01,130.2,
1991-04,132.1,
1991-07,129.7,
1991-10,126.2,
1992-01,129.3,
1992-04,121.3,
1992-07,116.7,
1992-10,99.1,
1993-01,101.0,
1993-04,96.9,
1993-07,92.4,
1993-10,97.1,
1994-01,113.7,
1994-04,109.5,
1994-07,100.9,
1994-10,109.2,
1995-01,109.6,
1995-04,111.3,
1995-07,97.6,
1995-10,116.6,
1996-01,113.2,
1996-04,105.2,
1996-07,105.2,
1996-10,111.8,
1997-01,111.1,
1997-04,108.2,
1997-07,104.4,
1997-10,110.3,
1998-01,108.6,
1998-04,98.3,
1998-07,85.8,
1998-10,92.9,
1999-01,96.7,
1999-04,91.6,
1999-07,90.3,
1999-10,102.9,
2000-01,112.8,
2000-04,104.2,
2000-07,124.0,
2000-10,96.0,
2001-01,103.0,
2001-04,98.3,
2001-07,102.0,
2001-10,99.1,
2002-01,107.4,
2002-04,98.0,
2002-07,109.9,
2002-10,100.9,
2003-01,107.6,
2003-04,95.6,
2003-07,93.0,
2003-10,101.8,
2004-01,118.8,
2004-04,110.3,
2004-07,111.8,
2004-10,109.1,
2005-01,113.5,
2005-04,109.6,
2005-07,113.6,
2005-10,107.3,
2006-01,117.8,
2006-04,102.2,
2006-07,98.6,
2006-10,95.4,
2007-01,108.8,
2007-04,102.0,
2007-07,100.6,
2007-10,100.8,
2008-01,107.4,
2008-04,102.1,
2008-07,105.8,
2008-10,98.7,
2009-01,115.3,
2009-04,109.0,
2009-07,109.1,
2009-10,108.2,
2010-01,106.9,
2010-04,99.9,
2010-07,74.6,
2010-10,112.9,
2011-01,121.7,
2011-04,117.9,
2011-07,122.4,
2011-10,112.9,
2012-01,127.4,
2012-04,121.1,
2012-07,133.9,
2012-10,115.5,
2013-01,126.7,
2013-04,115.8,
2013-07,113.4,
2013-10,114.1,
2014-01,116.9,
