"",BBK01.PQU356,BBK01.PQU356_FLAGS
"",Lending to domestic enterprises / Medium-term / Building and loan associations,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-16 10:23:37,
1999-01,0.107,
1999-04,0.092,
1999-07,0.060,
1999-10,0.083,
2000-01,0.087,
2000-04,0.098,
2000-07,0.130,
2000-10,0.134,
2001-01,0.160,
2001-04,0.159,
2001-07,0.170,
2001-10,0.181,
2002-01,0.190,
2002-04,0.197,
2002-07,0.207,
2002-10,0.215,
2003-01,0.238,
2003-04,0.269,
2003-07,0.251,
2003-10,0.234,
2004-01,0.202,
2004-04,0.166,
2004-07,0.155,
2004-10,0.155,
2005-01,0.112,
2005-04,0.123,
2005-07,0.121,
2005-10,0.098,
2006-01,0.095,
2006-04,0.069,
2006-07,0.062,
2006-10,0.073,
2007-01,0.053,
2007-04,0.056,
2007-07,0.033,
2007-10,0.029,
2008-01,0.028,
2008-04,0.023,
2008-07,0.027,
2008-10,0.038,
2009-01,0.047,
2009-04,0.034,
2009-07,0.140,
2009-10,0.136,
2010-01,0.137,
2010-04,0.137,
2010-07,0.139,
2010-10,0.135,
2011-01,0.133,
2011-04,0.136,
2011-07,0.142,
2011-10,0.161,
2012-01,0.154,
2012-04,0.157,
2012-07,0.149,
2012-10,0.149,
2013-01,0.147,
2013-04,0.161,
2013-07,0.164,
2013-10,0.154,
2014-01,0.145,
2014-04,0.135,
2014-07,0.047,
2014-10,0.035,
