"",BBK01.CEBH03,BBK01.CEBH03_FLAGS
"",Shares debtor: All sectors                    creditor: Monetary financial institutions,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:17:10,
1991-01,75.7,
1991-04,80.0,
1991-07,76.9,
1991-10,82.1,
1992-01,86.2,
1992-04,86.0,
1992-07,71.5,
1992-10,82.1,
1993-01,88.9,
1993-04,88.4,
1993-07,98.9,
1993-10,113.3,
1994-01,107.2,
1994-04,103.5,
1994-07,102.4,
1994-10,112.0,
1995-01,103.0,
1995-04,110.5,
1995-07,114.3,
1995-10,135.4,
1996-01,145.5,
1996-04,149.6,
1996-07,153.1,
1996-10,168.7,
1997-01,201.4,
1997-04,217.4,
1997-07,233.8,
1997-10,224.7,
1998-01,274.1,
1998-04,301.6,
1998-07,243.1,
1998-10,257.7,
1999-01,285.5,
1999-04,272.3,
1999-07,243.2,
1999-10,369.7,
2000-01,393.6,
2000-04,363.2,
2000-07,343.2,
2000-10,308.2,
2001-01,306.0,
2001-04,286.0,
2001-07,245.2,
2001-10,281.6,
2002-01,290.5,
2002-04,257.9,
2002-07,173.8,
2002-10,163.2,
2003-01,149.4,
2003-04,178.0,
2003-07,177.4,
2003-10,162.7,
2004-01,162.2,
2004-04,162.7,
2004-07,152.7,
2004-10,181.5,
2005-01,188.3,
2005-04,194.5,
2005-07,210.8,
2005-10,250.1,
2006-01,148.0,
2006-04,145.0,
2006-07,168.5,
2006-10,190.4,
2007-01,149.9,
2007-04,130.9,
2007-07,132.7,
2007-10,142.8,
2008-01,135.4,
2008-04,113.5,
2008-07,116.2,
2008-10,94.8,
2009-01,95.9,
2009-04,88.1,
2009-07,84.8,
2009-10,96.3,
2010-01,90.8,
2010-04,94.2,
2010-07,85.1,
2010-10,95.1,
2011-01,100.1,
2011-04,100.9,
2011-07,84.8,
2011-10,98.8,
2012-01,106.6,
2012-04,96.0,
2012-07,104.2,
2012-10,116.5,
2013-01,123.5,
2013-04,124.3,
2013-07,133.2,
2013-10,130.8,
2014-01,135.8,
