"",BBSF2.M.1.T.00000.IMM01.I.F.ATU.Z5.00000.000000.Z01.00,BBSF2.M.1.T.00000.IMM01.I.F.ATU.Z5.00000.000000.Z01.00_FLAGS
"",Public and Special Investors Funds total / Real estate funds / Number outstanding,
unit,Stück (hypothetically euro-based),
unit multiplier,thousand,
last update,2014-12-29 10:36:23,
2009-09,2519941,
2009-10,2429033,
2009-11,2435046,
2009-12,2457370,
2010-01,2499909,
2010-02,2522155,
2010-03,2531491,
2010-04,2542595,
2010-05,2511484,
2010-06,2514295,
2010-07,2529287,
2010-08,2525780,
2010-09,2521112,
2010-10,2523255,
2010-11,2509739,
2010-12,2543286,
2011-01,2560400,
2011-02,2567698,
2011-03,2562349,
2011-04,2561294,
2011-05,2572278,
2011-06,2576954,
2011-07,2578052,
2011-08,2604192,
2011-09,2613008,
2011-10,2603706,
2011-11,2606028,
2011-12,2644352,
2012-01,2658173,
2012-02,2667489,
2012-03,2676398,
2012-04,2679893,
2012-05,2686910,
2012-06,2701922,
2012-07,2721595,
2012-08,2740164,
2012-09,2749543,
2012-10,2755596,
2012-11,2761559,
2012-12,2774605,
2013-01,2812159,
2013-02,2820186,
2013-03,2839611,
2013-04,2843628,
2013-05,2853079,
2013-06,2871571,
2013-07,2892861,
2013-08,2917797,
2013-09,2925468,
2013-10,2872444,
2013-11,2893964,
2013-12,2936419,
2014-01,2950305,
2014-02,2957557,
2014-03,2972261,
2014-04,2976386,
2014-05,2980166,
2014-06,3006651,
2014-07,3006522,
2014-08,3010930,
2014-09,3018574,
2014-10,2945634,
2014-11,2997219,
