"",BBK01.OEXB09Q,BBK01.OEXB09Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:36:38,
2002-01,2.059,
2002-04,1.961,
2002-07,1.972,
2002-10,1.981,
2003-01,1.888,
2003-04,1.931,
2003-07,1.590,
2003-10,1.560,
2004-01,1.566,
2004-04,1.567,
2004-07,1.522,
2004-10,0.450,
2005-01,0.356,
2005-04,0.363,
2005-07,0.350,
2005-10,0.347,
2006-01,0.377,
2006-04,0.413,
2006-07,0.405,
2006-10,0.377,
2007-01,0.408,
2007-04,0.411,
2007-07,0.400,
2007-10,0.425,
2008-01,0.436,
2008-04,0.451,
2008-07,0.450,
2008-10,0.396,
2009-01,0.398,
2009-04,0.386,
2009-07,0.381,
2009-10,0.410,
2010-01,0.407,
2010-04,0.428,
2010-07,0.430,
2010-10,0.441,
2011-01,0.461,
2011-04,0.475,
2011-07,0.481,
2011-10,0.440,
2012-01,0.441,
2012-04,0.481,
2012-07,0.523,
2012-10,0.504,
2013-01,0.540,
2013-04,0.530,
2013-07,0.589,
2013-10,0.589,
2014-01,0.567,
2014-04,0.588,
2014-07,0.584,
