"",BBK01.OECB24K,BBK01.OECB24K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:29:26,
2002-01,0.119,
2002-04,0.118,
2002-07,0.109,
2002-10,0.109,
2003-01,0.105,
2003-04,0.105,
2003-07,0.097,
2003-10,0.081,
2004-01,0.076,
2004-04,0.075,
2004-07,0.067,
2004-10,0.086,
2005-01,0.301,
2005-04,0.307,
2005-07,0.302,
2005-10,0.283,
2006-01,0.209,
2006-04,0.207,
2006-07,0.208,
2006-10,0.208,
2007-01,0.180,
2007-04,0.163,
2007-07,0.162,
2007-10,0.159,
2008-01,0.151,
2008-04,0.150,
2008-07,0.020,
2008-10,0.019,
2009-01,0.019,
2009-04,0.104,
2009-07,0.143,
2009-10,0.132,
2010-01,0.121,
2010-04,0.146,
2010-07,0.129,
2010-10,0.159,
2011-01,0.180,
2011-04,0.188,
2011-07,0.186,
2011-10,0.191,
2012-01,0.203,
2012-04,0.199,
2012-07,0.200,
2012-10,0.883,
2013-01,0.869,
2013-04,0.260,
2013-07,0.401,
2013-10,0.234,
2014-01,0.232,
2014-04,0.229,
2014-07,0.252,
