"",BBNZ1.Q.DE.S.G.0034.A,BBNZ1.Q.DE.S.G.0034.A_FLAGS
"",Germany / National accounts / Households' income / Gross wages and salaries (residence concept) / Seasonally adjusted only,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-25 17:38:05,
1991-01,169.123,
1991-04,175.753,
1991-07,177.238,
1991-10,180.469,
1992-01,184.765,
1992-04,188.914,
1992-07,194.701,
1992-10,192.981,
1993-01,192.305,
1993-04,194.973,
1993-07,196.481,
1993-10,197.011,
1994-01,197.548,
1994-04,196.598,
1994-07,198.602,
1994-10,200.828,
1995-01,202.206,
1995-04,204.206,
1995-07,205.418,
1995-10,206.635,
1996-01,206.821,
1996-04,206.024,
1996-07,207.188,
1996-10,206.877,
1997-01,206.272,
1997-04,205.744,
1997-07,205.977,
1997-10,207.064,
1998-01,208.101,
1998-04,209.882,
1998-07,211.438,
1998-10,212.650,
1999-01,213.656,
1999-04,216.775,
1999-07,217.951,
1999-10,219.140,
2000-01,222.028,
2000-04,223.708,
2000-07,225.551,
2000-10,226.654,
2001-01,228.155,
2001-04,228.337,
2001-07,228.246,
2001-10,230.066,
2002-01,230.054,
2002-04,229.857,
2002-07,230.723,
2002-10,231.289,
2003-01,229.899,
2003-04,229.400,
2003-07,230.635,
2003-10,230.552,
2004-01,231.789,
2004-04,231.513,
2004-07,230.967,
2004-10,231.089,
2005-01,231.221,
2005-04,230.378,
2005-07,230.751,
2005-10,231.737,
2006-01,231.540,
2006-04,233.629,
2006-07,235.869,
2006-10,237.014,
2007-01,239.513,
2007-04,241.778,
2007-07,242.509,
2007-10,245.512,
2008-01,249.444,
2008-04,251.400,
2008-07,252.497,
2008-10,254.746,
2009-01,251.905,
2009-04,250.533,
2009-07,252.769,
2009-10,254.343,
2010-01,256.223,
2010-04,258.272,
2010-07,260.844,
2010-10,263.702,
2011-01,268.374,
2011-04,271.522,
2011-07,272.700,
2011-10,275.083,
2012-01,278.776,
2012-04,282.605,
2012-07,283.904,
2012-10,286.376,
2013-01,287.410,
2013-04,290.176,
2013-07,292.885,
2013-10,295.054,
2014-01,298.596,
2014-04,301.404,
2014-07,304.120,
2014-10,306.076,
