"",BBK01.OEHB04N,BBK01.OEHB04N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:33:07,
2002-01,126.734,
2002-04,127.664,
2002-07,128.732,
2002-10,129.950,
2003-01,130.608,
2003-04,131.676,
2003-07,133.063,
2003-10,134.818,
2004-01,135.742,
2004-04,136.196,
2004-07,137.084,
2004-10,137.610,
2005-01,137.624,
2005-04,138.424,
2005-07,139.293,
2005-10,140.871,
2006-01,141.266,
2006-04,142.118,
2006-07,142.886,
2006-10,143.510,
2007-01,143.533,
2007-04,144.476,
2007-07,145.134,
2007-10,146.002,
2008-01,145.774,
2008-04,146.737,
2008-07,148.125,
2008-10,149.031,
2009-01,148.809,
2009-04,149.467,
2009-07,150.896,
2009-10,152.076,
2010-01,152.061,
2010-04,153.602,
2010-07,154.685,
2010-10,155.846,
2011-01,155.950,
2011-04,156.941,
2011-07,158.150,
2011-10,159.098,
2012-01,159.448,
2012-04,160.368,
2012-07,161.520,
2012-10,162.608,
2013-01,162.941,
2013-04,163.894,
2013-07,164.905,
2013-10,165.798,
2014-01,165.915,
2014-04,166.676,
2014-07,167.693,
