"",BBK01.OEHB13Q,BBK01.OEHB13Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:36:50,
2002-01,9.175,
2002-04,9.129,
2002-07,9.078,
2002-10,9.032,
2003-01,9.001,
2003-04,8.960,
2003-07,8.960,
2003-10,8.870,
2004-01,8.846,
2004-04,8.806,
2004-07,8.739,
2004-10,8.619,
2005-01,8.634,
2005-04,8.741,
2005-07,8.748,
2005-10,8.645,
2006-01,8.598,
2006-04,8.632,
2006-07,8.621,
2006-10,8.492,
2007-01,8.469,
2007-04,8.436,
2007-07,8.361,
2007-10,8.331,
2008-01,8.354,
2008-04,8.302,
2008-07,8.373,
2008-10,8.374,
2009-01,8.305,
2009-04,8.377,
2009-07,8.394,
2009-10,8.447,
2010-01,8.448,
2010-04,8.571,
2010-07,8.605,
2010-10,8.535,
2011-01,8.519,
2011-04,8.491,
2011-07,8.446,
2011-10,8.424,
2012-01,8.415,
2012-04,8.395,
2012-07,8.339,
2012-10,8.312,
2013-01,8.316,
2013-04,8.265,
2013-07,8.235,
2013-10,8.233,
2014-01,8.204,
2014-04,8.266,
2014-07,8.272,
