"",BBK01.OEAA40S,BBK01.OEAA40S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:20:10,
2002-01,0.399,
2002-04,0.406,
2002-07,0.415,
2002-10,0.425,
2003-01,0.422,
2003-04,0.421,
2003-07,0.428,
2003-10,0.431,
2004-01,0.426,
2004-04,0.428,
2004-07,0.429,
2004-10,0.879,
2005-01,0.868,
2005-04,0.860,
2005-07,0.856,
2005-10,0.842,
2006-01,0.828,
2006-04,0.819,
2006-07,0.809,
2006-10,0.806,
2007-01,0.799,
2007-04,0.791,
2007-07,0.782,
2007-10,0.775,
2008-01,0.759,
2008-04,0.751,
2008-07,0.743,
2008-10,0.741,
2009-01,0.724,
2009-04,0.714,
2009-07,0.699,
2009-10,0.686,
2010-01,0.676,
2010-04,0.685,
2010-07,0.674,
2010-10,0.661,
2011-01,0.649,
2011-04,0.640,
2011-07,0.633,
2011-10,0.618,
2012-01,0.606,
2012-04,0.576,
2012-07,0.564,
2012-10,0.554,
2013-01,0.544,
2013-04,0.534,
2013-07,0.524,
2013-10,0.514,
2014-01,0.504,
2014-04,0.497,
2014-07,0.489,
