"",BBFB1.Q.N.DE.SI.S1.S1.T.B.G._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.SI.S1.S1.T.B.G._Z._Z._Z._T._X.N_FLAGS
"",Current account / Goods (fob/fob) / Balance / Slovenia,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:29:44,
1991-01,-,Nothing exists
1991-04,-,Nothing exists
1991-07,-,Nothing exists
1991-10,-,Nothing exists
1992-01,-,Nothing exists
1992-04,-47.453,
1992-07,-53.498,
1992-10,-1.288,
1993-01,8.202,
1993-04,-14.260,
1993-07,6.327,
1993-10,-6.443,
1994-01,-41.758,
1994-04,13.760,
1994-07,6.364,
1994-10,2.259,
1995-01,-20.038,
1995-04,92.975,
1995-07,82.059,
1995-10,21.342,
1996-01,19.807,
1996-04,57.494,
1996-07,8.677,
1996-10,-29.994,
1997-01,-1.988,
1997-04,51.895,
1997-07,54.645,
1997-10,-5.324,
1998-01,27.468,
1998-04,26.826,
1998-07,42.675,
1998-10,27.880,
1999-01,1.966,
1999-04,31.828,
1999-07,-5.380,
1999-10,5.730,
2000-01,24.756,
2000-04,-57.979,
2000-07,29.428,
2000-10,30.402,
2001-01,15.761,
2001-04,10.360,
2001-07,29.713,
2001-10,23.108,
2002-01,-26.090,
2002-04,3.111,
2002-07,-18.881,
2002-10,8.069,
2003-01,8.796,
2003-04,72.582,
2003-07,120.923,
2003-10,-14.723,
2004-01,107.567,
2004-04,105.185,
2004-07,87.454,
2004-10,76.102,
2005-01,140.316,
2005-04,128.746,
2005-07,143.671,
2005-10,125.559,
2006-01,115.225,
2006-04,141.005,
2006-07,136.572,
2006-10,164.400,
2007-01,267.214,
2007-04,189.335,
2007-07,166.974,
2007-10,154.007,
2008-01,172.727,
2008-04,273.091,
2008-07,182.289,
2008-10,229.365,
2009-01,30.382,
2009-04,36.814,
2009-07,89.750,
2009-10,85.322,
2010-01,49.303,
2010-04,73.137,
2010-07,51.813,
2010-10,2.032,
2011-01,-10.850,
2011-04,-63.429,
2011-07,-53.085,
2011-10,-86.955,
2012-01,-156.121,
2012-04,-172.640,
2012-07,-135.303,
2012-10,-104.055,
2013-01,33.797,
2013-04,-86.203,
2013-07,-75.914,
2013-10,-128.265,
2014-01,-156.104,Provisional value
2014-04,-118.184,Provisional value
2014-07,-71.292,Provisional value
