"",BBFN1.M.DE.N.1.L.W1.S1P.H2.T.NV00.Z06.BGA.X001.D,BBFN1.M.DE.N.1.L.W1.S1P.H2.T.NV00.Z06.BGA.X001.D_FLAGS
2005-01,1.468,
2005-02,1.490,
2005-03,1.429,
2005-04,1.500,
2005-05,1.508,
2005-06,1.480,
2005-07,1.540,
2005-08,1.562,
2005-09,1.391,
2005-10,1.284,
2005-11,1.260,
2005-12,1.286,
2006-01,1.243,
2006-02,1.387,
2006-03,1.401,
2006-04,1.499,
2006-05,1.491,
2006-06,1.493,
2006-07,1.499,
2006-08,1.536,
2006-09,1.437,
2006-10,1.434,
2006-11,1.384,
2006-12,1.377,
2007-01,1.424,
2007-02,1.429,
2007-03,1.483,
2007-04,1.513,
2007-05,1.504,
2007-06,1.465,
2007-07,1.475,
2007-08,1.470,
2007-09,1.345,
2007-10,1.541,
2007-11,1.490,
2007-12,1.322,
2008-01,1.428,
2008-02,1.313,
2008-03,1.270,
2008-04,1.360,
2008-05,1.271,
2008-06,1.335,
2008-07,1.348,
2008-08,1.404,
2008-09,1.246,
2008-10,1.237,
2008-11,1.186,
2008-12,1.198,
2009-01,1.207,
2009-02,1.225,
2009-03,1.163,
2009-04,1.272,
2009-05,1.223,
2009-06,1.134,
2009-07,1.115,
2009-08,1.112,
2009-09,1.090,
2009-10,1.041,
2009-11,0.959,
2009-12,0.999,
2010-01,0.993,
2010-02,0.985,
2010-03,0.942,
2010-04,0.989,
2010-05,0.980,
2010-06,1.007,
2010-07,1.028,
2010-08,0.966,
2010-09,0.939,
2010-10,0.958,
2010-11,0.902,
2010-12,1.053,
2011-01,1.278,
2011-02,1.232,
2011-03,1.204,
2011-04,1.240,
2011-05,1.256,
2011-06,1.247,
2011-07,1.355,
2011-08,1.332,
2011-09,1.259,
2011-10,1.257,
2011-11,1.236,
2011-12,1.426,
2012-01,1.454,
2012-02,1.416,
2012-03,1.419,
2012-04,1.420,
2012-05,1.403,
2012-06,1.426,
2012-07,1.384,
2012-08,1.354,
2012-09,1.501,
2012-10,1.271,
2012-11,1.383,
2012-12,1.755,
2013-01,1.790,
2013-02,1.765,
2013-03,1.757,
2013-04,1.785,
2013-05,1.716,
2013-06,1.670,
2013-07,1.730,
2013-08,1.697,
2013-09,1.762,
2013-10,1.728,
2013-11,1.722,
2013-12,1.834,
2014-01,1.970,
2014-02,1.973,
2014-03,1.921,
2014-04,1.906,
2014-05,2.908,
2014-06,1.854,
2014-07,1.903,
2014-08,1.906,
2014-09,2.096,
2014-10,2.129,
2014-11,2.126,
2014-12,2.482,
"","General: From January 1999, excluding national currencies of the euro-area member states.",
