"",BBFN1.M.DE.N.1.A.G9.S1P.F0.S.B000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.G9.S1P.F0.S.B000.Z01.BGA.X001.D_FLAGS
"",Short-term claims of enterprises on foreign banks arising from financial operations / Total / Other European countries,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:17:18,
1995-01,0.689,
1995-02,0.789,
1995-03,0.798,
1995-04,0.893,
1995-05,0.942,
1995-06,0.993,
1995-07,1.049,
1995-08,1.044,
1995-09,0.893,
1995-10,0.908,
1995-11,0.862,
1995-12,0.802,
1996-01,0.752,
1996-02,0.728,
1996-03,2.085,
1996-04,1.582,
1996-05,1.373,
1996-06,1.363,
1996-07,1.061,
1996-08,0.791,
1996-09,0.872,
1996-10,0.841,
1996-11,0.754,
1996-12,0.873,
1997-01,1.101,
1997-02,1.277,
1997-03,1.624,
1997-04,1.310,
1997-05,1.186,
1997-06,1.050,
1997-07,0.879,
1997-08,0.990,
1997-09,0.905,
1997-10,0.952,
1997-11,0.990,
1997-12,1.017,
1998-01,0.942,
1998-02,0.905,
1998-03,0.997,
1998-04,1.218,
1998-05,1.725,
1998-06,1.059,
1998-07,1.070,
1998-08,1.245,
1998-09,0.965,
1998-10,0.985,
1998-11,1.252,
1998-12,1.685,
1999-01,1.579,
1999-02,1.648,
1999-03,1.612,
1999-04,1.674,
1999-05,1.653,
1999-06,1.652,
1999-07,1.668,
1999-08,1.552,
1999-09,1.706,
1999-10,1.686,
1999-11,1.670,
1999-12,1.706,
2000-01,1.680,
2000-02,1.619,
2000-03,1.622,
2000-04,1.628,
2000-05,1.728,
2000-06,1.754,
2000-07,1.705,
2000-08,1.629,
2000-09,1.710,
2000-10,1.605,
2000-11,1.541,
2000-12,1.410,
2001-01,1.445,
2001-02,1.476,
2001-03,1.394,
2001-04,1.535,
2001-05,1.539,
2001-06,1.445,
2001-07,1.343,
2001-08,1.458,
2001-09,1.498,
2001-10,1.551,
2001-11,1.495,
2001-12,1.538,
2002-01,1.332,
2002-02,1.250,
2002-03,1.249,
2002-04,1.232,
2002-05,1.278,
2002-06,1.211,
2002-07,1.295,
2002-08,1.215,
2002-09,1.309,
2002-10,1.369,
2002-11,1.222,
2002-12,1.276,
2003-01,1.834,
2003-02,2.150,
2003-03,2.339,
2003-04,2.032,
2003-05,1.933,
2003-06,2.013,
2003-07,2.090,
2003-08,1.781,
2003-09,1.985,
2003-10,2.147,
2003-11,2.442,
2003-12,2.072,
2004-01,2.173,
2004-02,4.131,
2004-03,4.308,
2004-04,4.432,
2004-05,4.356,
2004-06,4.249,
2004-07,4.470,
2004-08,2.731,
2004-09,2.664,
2004-10,2.608,
2004-11,2.748,
2004-12,2.417,
2005-01,2.251,
2005-02,1.492,
2005-03,1.783,
2005-04,1.762,
2005-05,1.555,
2005-06,1.374,
2005-07,1.355,
2005-08,1.577,
2005-09,1.683,
2005-10,2.074,
2005-11,2.528,
2005-12,2.007,
2006-01,2.073,
2006-02,2.267,
2006-03,1.918,
2006-04,2.001,
2006-05,1.905,
2006-06,2.020,
2006-07,2.007,
2006-08,1.849,
2006-09,2.623,
2006-10,2.284,
2006-11,2.411,
2006-12,2.264,
2007-01,2.725,
2007-02,2.267,
2007-03,2.270,
2007-04,1.193,
2007-05,1.515,
2007-06,1.281,
2007-07,1.457,
2007-08,1.099,
2007-09,1.588,
2007-10,1.360,
2007-11,1.357,
2007-12,1.524,
2008-01,1.575,
2008-02,1.179,
2008-03,1.155,
2008-04,1.053,
2008-05,1.087,
2008-06,0.752,
2008-07,1.090,
2008-08,0.939,
2008-09,0.989,
2008-10,1.361,
2008-11,1.733,
2008-12,1.512,
2009-01,1.395,
2009-02,1.445,
2009-03,1.589,
2009-04,2.146,
2009-05,1.913,
2009-06,1.941,
2009-07,1.912,
2009-08,1.976,
2009-09,1.808,
2009-10,1.979,
2009-11,2.388,
2009-12,2.416,
2010-01,2.416,
2010-02,2.206,
2010-03,2.612,
2010-04,2.508,
2010-05,2.472,
2010-06,3.661,
2010-07,2.645,
2010-08,2.654,
2010-09,2.661,
2010-10,2.939,
2010-11,2.841,
2010-12,2.776,
2011-01,2.761,
2011-02,2.002,
2011-03,2.538,
2011-04,2.458,
2011-05,2.455,
2011-06,1.992,
2011-07,2.064,
2011-08,6.588,
2011-09,8.762,
2011-10,9.672,
2011-11,9.402,
2011-12,6.100,
2012-01,6.007,
2012-02,7.203,
2012-03,8.973,
2012-04,8.948,
2012-05,10.736,
2012-06,11.993,
2012-07,12.932,
2012-08,13.493,
2012-09,13.788,
2012-10,13.223,
2012-11,12.567,
2012-12,0.122,
2013-01,0.119,
2013-02,0.128,
2013-03,0.129,
2013-04,0.134,
2013-05,0.147,
2013-06,0.113,
2013-07,0.092,
2013-08,0.105,
2013-09,0.109,
2013-10,0.117,
2013-11,0.111,
2013-12,0.102,
2014-01,0.119,
2014-02,0.128,
2014-03,0.111,
2014-04,0.119,
2014-05,0.130,
2014-06,0.167,
2014-07,0.125,
2014-08,0.127,
2014-09,0.106,
2014-10,0.128,
2014-11,0.104,
2014-12,0.099,
"","General: Up to April 2004, including Cyprus, the Czech Republic, Estonia, Hungary, Latvia, Lithuania, Malta, Poland, the Slovak Republic and Slovenia; up to December 2006, including Bulgaria and Romania.",
