"",BBK01.OEHI05Q,BBK01.OEHI05Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:54:53,
2002-01,0.418,
2002-04,0.417,
2002-07,0.440,
2002-10,0.431,
2003-01,0.452,
2003-04,0.482,
2003-07,0.516,
2003-10,0.565,
2004-01,0.584,
2004-04,0.693,
2004-07,0.764,
2004-10,0.863,
2005-01,0.866,
2005-04,0.896,
2005-07,0.917,
2005-10,0.987,
2006-01,1.036,
2006-04,1.158,
2006-07,1.175,
2006-10,1.202,
2007-01,1.198,
2007-04,1.214,
2007-07,1.209,
2007-10,1.182,
2008-01,1.168,
2008-04,1.160,
2008-07,1.169,
2008-10,1.155,
2009-01,1.176,
2009-04,1.215,
2009-07,1.242,
2009-10,1.318,
2010-01,1.327,
2010-04,1.306,
2010-07,0.831,
2010-10,0.709,
2011-01,0.935,
2011-04,1.021,
2011-07,1.078,
2011-10,1.090,
2012-01,1.081,
2012-04,1.072,
2012-07,1.041,
2012-10,1.029,
2013-01,1.008,
2013-04,1.037,
2013-07,1.047,
2013-10,1.044,
2014-01,1.048,
2014-04,1.081,
2014-07,1.084,
