"",BBEX3.M.UYU.EUR.CA.AC.A01,BBEX3.M.UYU.EUR.CA.AC.A01_FLAGS
"",Exchange rates for the euro in Uruguay / EUR 1 = UYU ... (middle),
unit,UYU (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:21:55,
2008-01,31.230,
2008-02,31.710,
2008-03,32.100,
2008-04,31.150,
2008-05,30.720,
2008-06,30.570,
2008-07,29.940,
2008-08,28.260,
2008-09,30.190,
2008-10,29.500,
2008-11,30.410,
2008-12,34.400,
2009-01,29.100,
2009-02,30.150,
2009-03,31.970,
2009-04,31.660,
2009-05,33.070,
2009-06,32.860,
2009-07,33.150,
2009-08,32.270,
2009-09,31.410,
2009-10,30.630,
2009-11,30.110,
2009-12,28.140,
2010-01,27.210,
2010-02,26.970,
2010-03,26.290,
2010-04,25.550,
2010-05,23.560,
2010-06,25.860,
2010-07,27.220,
2010-08,26.350,
2010-09,27.670,
2010-10,27.820,
2010-11,26.000,
2010-12,26.660,
2011-01,26.950,
2011-02,26.900,
2011-03,27.261,
2011-04,28.094,
2011-05,26.738,
2011-06,26.716,
2011-07,26.484,
2011-08,26.813,
2011-09,27.200,
2011-10,26.967,
2011-11,26.697,
2011-12,25.774,
2012-01,25.654,
2012-02,25.749,
2012-03,26.047,
2012-04,26.206,
2012-05,26.246,
2012-06,27.725,
2012-07,26.526,
2012-08,26.922,
2012-09,26.970,
2012-10,25.818,
2012-11,25.549,
2012-12,25.648,
2013-01,25.996,
2013-02,25.004,
2013-03,24.180,
2013-04,24.913,
2013-05,26.344,
2013-06,26.759,
2013-07,28.659,
2013-08,29.840,
2013-09,29.825,
2013-10,29.291,
2013-11,28.773,
2013-12,29.565,
2014-01,29.985,
2014-02,31.035,
2014-03,31.214,
2014-04,31.998,
2014-05,31.294,
2014-06,31.390,
2014-07,31.226,
2014-08,31.202,
2014-09,31.199,
2014-10,30.320,
2014-11,29.491,
2014-12,29.608,
2015-01,27.606,
"","Source: Banco Central del Uruguay, Montevideo",
