"",BBK01.OEAF38I,BBK01.OEAF38I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:07:43,
2002-01,0.790,
2002-04,0.778,
2002-07,0.766,
2002-10,0.765,
2003-01,0.756,
2003-04,0.737,
2003-07,0.734,
2003-10,0.737,
2004-01,0.669,
2004-04,0.670,
2004-07,0.683,
2004-10,0.680,
2005-01,0.680,
2005-04,0.683,
2005-07,0.697,
2005-10,0.684,
2006-01,0.681,
2006-04,0.676,
2006-07,0.691,
2006-10,0.738,
2007-01,0.737,
2007-04,0.729,
2007-07,0.693,
2007-10,0.665,
2008-01,0.650,
2008-04,0.645,
2008-07,0.567,
2008-10,0.541,
2009-01,0.528,
2009-04,0.588,
2009-07,0.624,
2009-10,0.631,
2010-01,0.623,
2010-04,0.623,
2010-07,0.649,
2010-10,0.661,
2011-01,0.620,
2011-04,0.609,
2011-07,0.591,
2011-10,0.577,
2012-01,0.573,
2012-04,0.568,
2012-07,0.559,
2012-10,0.554,
2013-01,0.558,
2013-04,0.558,
2013-07,0.561,
2013-10,0.555,
2014-01,0.553,
2014-04,0.553,
2014-07,0.562,
