"",BBFN1.M.DE.N.1.A.G9.S1P.H0.T.N000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.G9.S1P.H0.T.N000.Z01.BGA.X001.D_FLAGS
"",Claims of enterprises on non-residents arising from trade credits / Total / Other European countries,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:17:21,
1995-01,10.465,
1995-02,10.543,
1995-03,10.999,
1995-04,11.084,
1995-05,11.138,
1995-06,11.663,
1995-07,11.601,
1995-08,11.716,
1995-09,12.117,
1995-10,11.827,
1995-11,12.224,
1995-12,11.482,
1996-01,11.448,
1996-02,11.668,
1996-03,11.747,
1996-04,11.935,
1996-05,12.306,
1996-06,12.675,
1996-07,12.582,
1996-08,12.355,
1996-09,12.967,
1996-10,13.060,
1996-11,13.410,
1996-12,12.932,
1997-01,12.916,
1997-02,13.393,
1997-03,13.600,
1997-04,13.813,
1997-05,13.938,
1997-06,14.258,
1997-07,14.180,
1997-08,14.186,
1997-09,14.486,
1997-10,15.089,
1997-11,15.209,
1997-12,14.864,
1998-01,14.657,
1998-02,15.387,
1998-03,15.670,
1998-04,15.863,
1998-05,15.914,
1998-06,16.026,
1998-07,16.136,
1998-08,15.753,
1998-09,15.999,
1998-10,15.937,
1998-11,16.129,
1998-12,15.272,
1999-01,14.929,
1999-02,15.028,
1999-03,15.836,
1999-04,15.395,
1999-05,15.723,
1999-06,16.054,
1999-07,15.884,
1999-08,15.673,
1999-09,15.881,
1999-10,16.448,
1999-11,16.765,
1999-12,15.978,
2000-01,16.034,
2000-02,16.636,
2000-03,17.273,
2000-04,17.315,
2000-05,17.085,
2000-06,17.435,
2000-07,17.635,
2000-08,17.949,
2000-09,18.317,
2000-10,18.815,
2000-11,19.008,
2000-12,18.951,
2001-01,18.552,
2001-02,18.810,
2001-03,19.105,
2001-04,19.407,
2001-05,19.189,
2001-06,19.835,
2001-07,19.275,
2001-08,19.173,
2001-09,19.768,
2001-10,20.252,
2001-11,19.968,
2001-12,18.938,
2002-01,18.136,
2002-02,18.441,
2002-03,17.810,
2002-04,18.296,
2002-05,18.272,
2002-06,18.670,
2002-07,18.230,
2002-08,18.389,
2002-09,18.696,
2002-10,19.111,
2002-11,19.362,
2002-12,18.492,
2003-01,18.355,
2003-02,18.650,
2003-03,19.069,
2003-04,19.377,
2003-05,19.043,
2003-06,19.578,
2003-07,19.380,
2003-08,19.092,
2003-09,19.620,
2003-10,20.062,
2003-11,20.639,
2003-12,19.272,
2004-01,18.715,
2004-02,19.085,
2004-03,20.354,
2004-04,20.481,
2004-05,13.243,
2004-06,13.541,
2004-07,13.587,
2004-08,13.074,
2004-09,13.420,
2004-10,13.396,
2004-11,13.595,
2004-12,12.453,
2005-01,12.440,
2005-02,12.821,
2005-03,13.431,
2005-04,13.421,
2005-05,13.517,
2005-06,14.392,
2005-07,14.193,
2005-08,13.800,
2005-09,14.425,
2005-10,14.726,
2005-11,15.033,
2005-12,14.991,
2006-01,15.391,
2006-02,15.498,
2006-03,16.001,
2006-04,15.970,
2006-05,16.140,
2006-06,15.788,
2006-07,15.584,
2006-08,15.295,
2006-09,15.934,
2006-10,16.150,
2006-11,16.792,
2006-12,15.926,
2007-01,15.027,
2007-02,15.436,
2007-03,15.693,
2007-04,15.938,
2007-05,16.222,
2007-06,16.913,
2007-07,16.697,
2007-08,16.502,
2007-09,17.183,
2007-10,17.595,
2007-11,17.417,
2007-12,16.369,
2008-01,16.190,
2008-02,17.023,
2008-03,17.567,
2008-04,18.233,
2008-05,18.284,
2008-06,18.814,
2008-07,18.620,
2008-08,18.669,
2008-09,18.585,
2008-10,18.826,
2008-11,19.207,
2008-12,17.201,
2009-01,16.474,
2009-02,16.401,
2009-03,16.120,
2009-04,15.897,
2009-05,16.095,
2009-06,16.115,
2009-07,16.142,
2009-08,15.387,
2009-09,15.648,
2009-10,15.454,
2009-11,15.980,
2009-12,14.843,
2010-01,14.649,
2010-02,15.148,
2010-03,16.160,
2010-04,16.253,
2010-05,16.107,
2010-06,17.023,
2010-07,17.063,
2010-08,17.280,
2010-09,17.206,
2010-10,17.536,
2010-11,17.410,
2010-12,15.956,
2011-01,16.173,
2011-02,16.489,
2011-03,17.434,
2011-04,17.154,
2011-05,17.938,
2011-06,18.213,
2011-07,17.958,
2011-08,17.650,
2011-09,18.523,
2011-10,19.228,
2011-11,19.084,
2011-12,18.024,
2012-01,17.848,
2012-02,18.121,
2012-03,19.576,
2012-04,18.555,
2012-05,18.553,
2012-06,20.956,
2012-07,20.511,
2012-08,18.894,
2012-09,19.240,
2012-10,19.265,
2012-11,19.571,
2012-12,8.347,
2013-01,8.935,
2013-02,8.980,
2013-03,9.161,
2013-04,9.494,
2013-05,9.390,
2013-06,9.847,
2013-07,8.853,
2013-08,9.110,
2013-09,9.177,
2013-10,9.332,
2013-11,9.775,
2013-12,8.405,
2014-01,8.677,
2014-02,8.856,
2014-03,9.091,
2014-04,9.055,
2014-05,9.163,
2014-06,9.276,
2014-07,9.114,
2014-08,9.013,
2014-09,9.071,
2014-10,8.761,
2014-11,8.673,
2014-12,7.620,
"","General: Up to April 2004, including Cyprus, the Czech Republic, Estonia, Hungary, Latvia, Lithuania, Malta, Poland, the Slovak Republic and Slovenia; up to December 2006, including Bulgaria and Romania.",
