"",BBDE1.M.DE.Y.BA10.A2P200000.F.C.I10.A,BBDE1.M.DE.Y.BA10.A2P200000.F.C.I10.A_FLAGS
"",,
unit,2010=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-17 08:12:05,
1991-01,49.7,
1991-02,49.2,
1991-03,49.4,
1991-04,49.8,
1991-05,49.6,
1991-06,51.2,
1991-07,50.6,
1991-08,50.5,
1991-09,50.1,
1991-10,51.7,
1991-11,52.1,
1991-12,53.1,
1992-01,53.3,
1992-02,54.1,
1992-03,53.0,
1992-04,53.5,
1992-05,53.3,
1992-06,53.4,
1992-07,53.2,
1992-08,53.3,
1992-09,53.2,
1992-10,53.4,
1992-11,53.5,
1992-12,53.1,
1993-01,53.5,
1993-02,53.9,
1993-03,54.2,
1993-04,54.2,
1993-05,54.7,
1993-06,55.0,
1993-07,54.2,
1993-08,55.8,
1993-09,56.2,
1993-10,56.5,
1993-11,56.7,
1993-12,57.0,
1994-01,57.2,
1994-02,58.5,
1994-03,58.4,
1994-04,58.6,
1994-05,59.3,
1994-06,59.5,
1994-07,59.7,
1994-08,59.9,
1994-09,60.4,
1994-10,61.6,
1994-11,62.2,
1994-12,62.0,
1995-01,60.9,
1995-02,62.3,
1995-03,62.5,
1995-04,62.6,
1995-05,62.7,
1995-06,62.6,
1995-07,62.6,
1995-08,62.3,
1995-09,63.5,
1995-10,62.9,
1995-11,63.2,
1995-12,63.9,
1996-01,63.8,
1996-02,64.0,
1996-03,64.3,
1996-04,64.7,
1996-05,65.5,
1996-06,66.0,
1996-07,65.8,
1996-08,66.6,
1996-09,67.2,
1996-10,67.1,
1996-11,67.5,
1996-12,68.1,
1997-01,67.8,
1997-02,68.6,
1997-03,69.0,
1997-04,69.8,
1997-05,71.0,
1997-06,70.8,
1997-07,71.1,
1997-08,70.9,
1997-09,70.9,
1997-10,71.1,
1997-11,71.6,
1997-12,72.2,
1998-01,73.8,
1998-02,72.9,
1998-03,73.7,
1998-04,73.1,
1998-05,74.0,
1998-06,73.3,
1998-07,74.2,
1998-08,73.5,
1998-09,73.1,
1998-10,73.3,
1998-11,72.8,
1998-12,72.6,
1999-01,73.7,
1999-02,73.8,
1999-03,74.1,
1999-04,74.0,
1999-05,75.5,
1999-06,75.6,
1999-07,75.3,
1999-08,76.2,
1999-09,76.4,
1999-10,76.2,
1999-11,77.1,
1999-12,75.9,
2000-01,76.4,
2000-02,78.2,
2000-03,78.0,
2000-04,78.9,
2000-05,80.4,
2000-06,80.5,
2000-07,80.3,
2000-08,80.4,
2000-09,81.4,
2000-10,81.5,
2000-11,82.3,
2000-12,82.1,
2001-01,81.1,
2001-02,82.5,
2001-03,81.0,
2001-04,81.4,
2001-05,81.7,
2001-06,82.6,
2001-07,80.2,
2001-08,80.2,
2001-09,80.7,
2001-10,79.7,
2001-11,81.2,
2001-12,80.5,
2002-01,80.6,
2002-02,81.7,
2002-03,81.8,
2002-04,82.8,
2002-05,84.0,
2002-06,84.9,
2002-07,83.2,
2002-08,83.0,
2002-09,84.3,
2002-10,83.6,
2002-11,85.9,
2002-12,84.4,
2003-01,84.8,
2003-02,83.7,
2003-03,84.1,
2003-04,84.0,
2003-05,82.6,
2003-06,82.5,
2003-07,85.6,
2003-08,85.4,
2003-09,84.2,
2003-10,86.2,
2003-11,86.0,
2003-12,87.6,
2004-01,87.9,
2004-02,87.9,
2004-03,87.3,
2004-04,87.6,
2004-05,88.6,
2004-06,88.1,
2004-07,89.6,
2004-08,90.7,
2004-09,88.9,
2004-10,90.1,
2004-11,88.1,
2004-12,88.9,
2005-01,90.9,
2005-02,90.2,
2005-03,91.4,
2005-04,91.1,
2005-05,92.0,
2005-06,92.0,
2005-07,93.4,
2005-08,93.7,
2005-09,94.9,
2005-10,95.4,
2005-11,94.7,
2005-12,96.2,
2006-01,95.4,
2006-02,95.0,
2006-03,95.0,
2006-04,96.2,
2006-05,97.8,
2006-06,98.1,
2006-07,98.5,
2006-08,99.9,
2006-09,99.0,
2006-10,99.3,
2006-11,100.3,
2006-12,101.7,
2007-01,101.1,
2007-02,101.5,
2007-03,101.9,
2007-04,102.0,
2007-05,101.8,
2007-06,102.2,
2007-07,102.9,
2007-08,102.8,
2007-09,102.9,
2007-10,103.9,
2007-11,103.5,
2007-12,102.8,
2008-01,105.4,
2008-02,104.4,
2008-03,103.6,
2008-04,103.4,
2008-05,102.8,
2008-06,102.2,
2008-07,101.9,
2008-08,101.6,
2008-09,101.3,
2008-10,98.8,
