"",BBK01.OEAH16Q,BBK01.OEAH16Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:29:03,
2002-01,13.999,
2002-04,14.136,
2002-07,13.913,
2002-10,15.842,
2003-01,14.666,
2003-04,15.823,
2003-07,18.912,
2003-10,18.414,
2004-01,18.056,
2004-04,15.613,
2004-07,15.372,
2004-10,16.028,
2005-01,18.574,
2005-04,18.486,
2005-07,19.629,
2005-10,20.038,
2006-01,19.684,
2006-04,20.566,
2006-07,20.558,
2006-10,21.462,
2007-01,21.741,
2007-04,24.040,
2007-07,24.106,
2007-10,24.208,
2008-01,24.545,
2008-04,25.938,
2008-07,26.160,
2008-10,27.784,
2009-01,30.524,
2009-04,30.967,
2009-07,33.601,
2009-10,33.141,
2010-01,34.521,
2010-04,34.161,
2010-07,33.830,
2010-10,33.194,
2011-01,34.298,
2011-04,35.036,
2011-07,34.728,
2011-10,35.266,
2012-01,35.081,
2012-04,37.669,
2012-07,38.302,
2012-10,39.600,
2013-01,41.036,
2013-04,43.652,
2013-07,44.271,
2013-10,46.020,
2014-01,46.958,
2014-04,49.433,
2014-07,49.036,
