"",BBK01.OELO04H,BBK01.OELO04H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:12:56,
2002-01,-0.520,
2002-04,-0.421,
2002-07,-0.262,
2002-10,0.082,
2003-01,-0.073,
2003-04,-0.136,
2003-07,-0.115,
2003-10,0.369,
2004-01,0.117,
2004-04,-0.017,
2004-07,0.036,
2004-10,0.136,
2005-01,0.113,
2005-04,-0.259,
2005-07,-0.209,
2005-10,0.024,
2006-01,-0.282,
2006-04,-0.581,
2006-07,-0.878,
2006-10,-0.811,
2007-01,-1.144,
2007-04,-0.894,
2007-07,-0.941,
2007-10,-0.865,
2008-01,-1.053,
2008-04,-1.009,
2008-07,-1.301,
2008-10,-0.261,
2009-01,0.976,
2009-04,1.133,
2009-07,1.188,
2009-10,1.537,
2010-01,1.182,
2010-04,0.460,
2010-07,0.128,
2010-10,0.131,
2011-01,0.177,
2011-04,0.132,
2011-07,-0.223,
2011-10,0.124,
2012-01,-0.015,
2012-04,-0.011,
2012-07,-0.253,
2012-10,0.163,
2013-01,0.023,
2013-04,-0.176,
2013-07,-0.077,
2013-10,0.480,
2014-01,0.067,
2014-04,0.013,
2014-07,-0.254,
