"",BBFB1.Q.N.DE.AR.S1.S1.T.A.FA.O.F._Z._T._X.N,BBFB1.Q.N.DE.AR.S1.S1.T.A.FA.O.F._Z._T._X.N_FLAGS
"",Financial account / Net domestic financial investment abroad / Other investment / Argentina,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:46:24,
1991-01,52.995,
1991-04,311.645,
1991-07,-10.428,
1991-10,64.973,
1992-01,134.313,
1992-04,121.787,
1992-07,-179.438,
1992-10,243.083,
1993-01,-140.630,
1993-04,-590.166,
1993-07,140.084,
1993-10,-289.170,
1994-01,78.358,
1994-04,185.914,
1994-07,108.008,
1994-10,46.750,
1995-01,178.275,
1995-04,130.965,
1995-07,531.673,
1995-10,-595.969,
1996-01,-133.339,
1996-04,27.939,
1996-07,25.164,
1996-10,94.375,
1997-01,-92.367,
1997-04,-98.609,
1997-07,28.835,
1997-10,145.484,
1998-01,68.643,
1998-04,-148.522,
1998-07,115.584,
1998-10,-20.522,
1999-01,-148.695,
1999-04,554.443,
1999-07,16.611,
1999-10,-37.799,
2000-01,-37.987,
2000-04,-478.997,
2000-07,1.068,
2000-10,-181.227,
2001-01,-174.997,
2001-04,-150.686,
2001-07,156.032,
2001-10,-306.864,
2002-01,-368.822,
2002-04,-262.637,
2002-07,-458.509,
2002-10,-237.675,
2003-01,9.856,
2003-04,-132.082,
2003-07,100.804,
2003-10,-222.966,
2004-01,-51.719,
2004-04,-133.690,
2004-07,55.024,
2004-10,-7.345,
2005-01,-48.229,
2005-04,2.620,
2005-07,-198.113,
2005-10,100.687,
2006-01,-9.051,
2006-04,20.009,
2006-07,119.934,
2006-10,94.274,
2007-01,12.841,
2007-04,92.825,
2007-07,154.623,
2007-10,-77.306,
2008-01,73.912,
2008-04,155.688,
2008-07,45.615,
2008-10,-76.387,
2009-01,-62.977,
2009-04,-364.912,
2009-07,-42.863,
2009-10,-9.929,
2010-01,107.102,
2010-04,-21.507,
2010-07,-41.895,
2010-10,19.830,
2011-01,93.428,
2011-04,7.929,
2011-07,75.941,
2011-10,-121.948,
2012-01,-63.044,
2012-04,68.944,
2012-07,42.502,
2012-10,-118.997,
2013-01,-15.531,
2013-04,29.358,
2013-07,23.450,
2013-10,-118.666,
2014-01,-12.530,Provisional value
2014-04,8.785,Provisional value
2014-07,46.391,Provisional value
2014-10,-89.717,Provisional value
