"",BBFB1.Q.N.DE.S1.S1.S1.T.B.CA._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.S1.S1.S1.T.B.CA._Z._Z._Z._T._X.N_FLAGS
"",Current account / Balance of the Current account / Asia,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:33:32,
1991-01,-4947.584,
1991-04,-5089.985,
1991-07,-4663.678,
1991-10,-3133.907,
1992-01,-4024.849,
1992-04,-3546.024,
1992-07,-3180.959,
1992-10,-2566.510,
1993-01,-3046.277,
1993-04,-2749.059,
1993-07,-3405.472,
1993-10,-1791.890,
1994-01,-3288.639,
1994-04,-1190.969,
1994-07,-2209.720,
1994-10,-1728.055,
1995-01,-1963.901,
1995-04,-2536.498,
1995-07,-3122.449,
1995-10,-2050.410,
1996-01,-2253.377,
1996-04,-1346.948,
1996-07,-1048.315,
1996-10,408.340,
1997-01,-2974.668,
1997-04,-1637.483,
1997-07,-2068.581,
1997-10,-2649.378,
1998-01,-5240.117,
1998-04,-5642.663,
1998-07,-5135.745,
1998-10,-5669.639,
1999-01,-6089.383,
1999-04,-4718.847,
1999-07,-5862.687,
1999-10,-6075.759,
2000-01,-8595.456,
2000-04,-7998.193,
2000-07,-7341.154,
2000-10,-9230.753,
2001-01,-7739.669,
2001-04,-5186.255,
2001-07,-4656.664,
2001-10,-5183.740,
2002-01,-3474.996,
2002-04,-2045.927,
2002-07,-1833.935,
2002-10,-3456.614,
2003-01,-4969.901,
2003-04,-2593.053,
2003-07,-983.510,
2003-10,-4717.493,
2004-01,-3031.868,
2004-04,-2198.604,
2004-07,-4745.557,
2004-10,-6859.527,
2005-01,-4145.052,
2005-04,-5198.576,
2005-07,-4478.035,
2005-10,-9340.639,
2006-01,-8478.660,
2006-04,-6905.532,
2006-07,-4993.389,
2006-10,-7228.343,
2007-01,-7879.157,
2007-04,-4244.875,
2007-07,-5917.888,
2007-10,-7026.293,
2008-01,-5590.631,
2008-04,-2530.529,
2008-07,-5525.538,
2008-10,-4981.492,
2009-01,-4490.795,
2009-04,1046.204,
2009-07,-150.251,
2009-10,2891.435,
2010-01,-792.328,
2010-04,-624.108,
2010-07,-2002.814,
2010-10,401.427,
2011-01,-190.019,
2011-04,1878.962,
2011-07,1516.977,
2011-10,5861.859,
2012-01,4161.194,
2012-04,9077.585,
2012-07,6794.617,
2012-10,8433.541,
2013-01,4412.115,
2013-04,9419.759,
2013-07,7333.112,
2013-10,11770.351,
2014-01,6571.571,Provisional value
2014-04,11693.372,Provisional value
2014-07,10331.383,Provisional value
