"",BBK01.OEYK01M,BBK01.OEYK01M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:11:45,
2002-01,0.400,
2002-04,0.346,
2002-07,0.410,
2002-10,0.409,
2003-01,0.398,
2003-04,0.399,
2003-07,0.381,
2003-10,0.387,
2004-01,0.345,
2004-04,0.335,
2004-07,0.332,
2004-10,0.444,
2005-01,0.443,
2005-04,0.456,
2005-07,0.433,
2005-10,0.539,
2006-01,0.492,
2006-04,0.456,
2006-07,0.515,
2006-10,0.551,
2007-01,0.531,
2007-04,0.490,
2007-07,0.517,
2007-10,0.553,
2008-01,0.540,
2008-04,0.537,
2008-07,0.538,
2008-10,0.535,
2009-01,0.523,
2009-04,0.544,
2009-07,0.555,
2009-10,0.569,
2010-01,0.642,
2010-04,0.635,
2010-07,0.645,
2010-10,0.645,
2011-01,0.643,
2011-04,0.621,
2011-07,0.640,
2011-10,0.626,
2012-01,0.638,
2012-04,0.648,
2012-07,0.696,
2012-10,0.613,
2013-01,0.553,
2013-04,0.502,
2013-07,0.519,
2013-10,0.539,
2014-01,0.538,
2014-04,0.545,
2014-07,0.575,
