"",BBK01.OEAD40T,BBK01.OEAD40T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:01:28,
2002-01,0.181,
2002-04,0.208,
2002-07,0.225,
2002-10,0.237,
2003-01,0.230,
2003-04,0.232,
2003-07,0.232,
2003-10,0.215,
2004-01,0.207,
2004-04,0.207,
2004-07,0.199,
2004-10,0.201,
2005-01,0.196,
2005-04,0.203,
2005-07,0.198,
2005-10,0.205,
2006-01,0.198,
2006-04,0.204,
2006-07,0.197,
2006-10,0.197,
2007-01,0.207,
2007-04,0.178,
2007-07,0.173,
2007-10,0.165,
2008-01,0.159,
2008-04,0.161,
2008-07,0.157,
2008-10,0.150,
2009-01,0.149,
2009-04,0.151,
2009-07,0.147,
2009-10,0.144,
2010-01,0.165,
2010-04,0.170,
2010-07,0.171,
2010-10,0.170,
2011-01,0.171,
2011-04,0.165,
2011-07,0.166,
2011-10,0.155,
2012-01,0.152,
2012-04,0.145,
2012-07,0.139,
2012-10,0.142,
2013-01,0.164,
2013-04,0.156,
2013-07,0.152,
2013-10,0.138,
2014-01,0.143,
2014-04,0.138,
2014-07,0.134,
