"",BBK01.OEAF03P,BBK01.OEAF03P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:09:08,
2002-01,7.112,
2002-04,7.209,
2002-07,7.223,
2002-10,7.355,
2003-01,7.568,
2003-04,7.666,
2003-07,7.781,
2003-10,7.813,
2004-01,7.277,
2004-04,7.539,
2004-07,7.636,
2004-10,7.691,
2005-01,7.862,
2005-04,7.916,
2005-07,8.027,
2005-10,8.095,
2006-01,8.125,
2006-04,8.186,
2006-07,8.249,
2006-10,8.309,
2007-01,8.312,
2007-04,8.359,
2007-07,8.429,
2007-10,8.508,
2008-01,8.498,
2008-04,8.525,
2008-07,8.558,
2008-10,8.543,
2009-01,8.506,
2009-04,8.815,
2009-07,8.826,
2009-10,8.560,
2010-01,8.819,
2010-04,8.819,
2010-07,8.849,
2010-10,8.897,
2011-01,8.993,
2011-04,9.065,
2011-07,9.175,
2011-10,9.218,
2012-01,9.243,
2012-04,9.388,
2012-07,9.511,
2012-10,9.642,
2013-01,9.696,
2013-04,9.733,
2013-07,9.746,
2013-10,9.759,
2014-01,9.721,
2014-04,9.763,
2014-07,9.827,
