"",BBFB1.Q.N.DE.HU.S1.S1.T.B.G._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.HU.S1.S1.T.B.G._Z._Z._Z._T._X.N_FLAGS
"",Current account / Goods (fob/fob) / Balance / Hungary,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:31:02,
1991-01,36.466,
1991-04,103.106,
1991-07,49.221,
1991-10,13.305,
1992-01,71.910,
1992-04,80.193,
1992-07,123.949,
1992-10,121.908,
1993-01,144.411,
1993-04,191.909,
1993-07,183.164,
1993-10,190.246,
1994-01,216.288,
1994-04,329.921,
1994-07,143.097,
1994-10,204.616,
1995-01,210.643,
1995-04,308.084,
1995-07,201.337,
1995-10,215.571,
1996-01,63.206,
1996-04,285.019,
1996-07,163.666,
1996-10,92.855,
1997-01,96.250,
1997-04,195.988,
1997-07,214.500,
1997-10,296.985,
1998-01,320.975,
1998-04,325.550,
1998-07,74.494,
1998-10,81.878,
1999-01,87.886,
1999-04,76.599,
1999-07,-79.413,
1999-10,7.807,
2000-01,-87.912,
2000-04,89.071,
2000-07,32.593,
2000-10,-99.950,
2001-01,-155.443,
2001-04,-173.170,
2001-07,-341.265,
2001-10,-180.018,
2002-01,-246.768,
2002-04,-271.962,
2002-07,-75.935,
2002-10,-78.896,
2003-01,3.928,
2003-04,240.149,
2003-07,249.470,
2003-10,-380.505,
2004-01,-240.496,
2004-04,250.873,
2004-07,167.872,
2004-10,-272.773,
2005-01,145.979,
2005-04,317.930,
2005-07,-264.011,
2005-10,-82.439,
2006-01,307.668,
2006-04,423.527,
2006-07,153.746,
2006-10,-75.839,
2007-01,95.739,
2007-04,-83.850,
2007-07,-107.301,
2007-10,-66.750,
2008-01,202.179,
2008-04,507.367,
2008-07,245.437,
2008-10,-198.242,
2009-01,-371.468,
2009-04,-492.434,
2009-07,-435.450,
2009-10,-498.804,
2010-01,-176.814,
2010-04,-287.143,
2010-07,10.233,
2010-10,-506.151,
2011-01,-401.576,
2011-04,-547.550,
2011-07,-406.459,
2011-10,-633.388,
2012-01,-689.862,
2012-04,-724.333,
2012-07,-524.626,
2012-10,-643.978,
2013-01,-530.262,
2013-04,-832.500,
2013-07,-804.616,
2013-10,-1196.156,
2014-01,-747.597,Provisional value
2014-04,-1130.898,Provisional value
2014-07,-806.357,Provisional value
