"",BBFB1.M.N.DE.W1.S1.S1.T.D.SJ._Z._Z._Z._T._X.N,BBFB1.M.N.DE.W1.S1.S1.T.D.SJ._Z._Z._Z._T._X.N_FLAGS
"",Current account / Other business services / Expenditure / Rest of the World,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:36:55,
1991-01,1528.805,
1991-02,1042.397,
1991-03,1122.852,
1991-04,1090.770,
1991-05,1135.417,
1991-06,1151.915,
1991-07,1199.412,
1991-08,1241.374,
1991-09,1046.441,
1991-10,1341.380,
1991-11,1203.294,
1991-12,1393.303,
1992-01,1632.481,
1992-02,1223.912,
1992-03,1242.993,
1992-04,1241.815,
1992-05,1335.621,
1992-06,1330.591,
1992-07,1579.764,
1992-08,1297.850,
1992-09,1100.949,
1992-10,1452.756,
1992-11,1224.638,
1992-12,1769.064,
1993-01,1585.559,
1993-02,1234.832,
1993-03,1262.611,
1993-04,1428.502,
1993-05,1290.759,
1993-06,1409.496,
1993-07,1670.471,
1993-08,1315.746,
1993-09,1243.580,
1993-10,1546.702,
1993-11,1380.424,
1993-12,1688.247,
1994-01,1636.632,
1994-02,1370.931,
1994-03,1556.412,
1994-04,1365.512,
1994-05,1312.990,
1994-06,1363.611,
1994-07,1440.030,
1994-08,1517.541,
1994-09,1547.871,
1994-10,1429.268,
1994-11,1399.509,
1994-12,1857.006,
1995-01,1932.337,
1995-02,1639.501,
1995-03,1540.148,
1995-04,1283.502,
1995-05,1535.621,
1995-06,1347.805,
1995-07,1703.640,
1995-08,1573.537,
1995-09,1265.713,
1995-10,1695.118,
1995-11,1657.407,
1995-12,1719.867,
1996-01,1997.753,
1996-02,1653.516,
1996-03,1485.986,
1996-04,1430.708,
1996-05,1538.322,
1996-06,1599.471,
1996-07,1804.749,
1996-08,1764.491,
1996-09,1494.358,
1996-10,1724.841,
1996-11,1980.361,
1996-12,2051.975,
1997-01,2412.602,
1997-02,1964.911,
1997-03,1805.762,
1997-04,1744.842,
1997-05,1947.680,
1997-06,1748.380,
1997-07,2052.211,
1997-08,1930.875,
1997-09,1935.644,
1997-10,2212.389,
1997-11,1971.261,
1997-12,2511.471,
1998-01,2365.889,
1998-02,1987.286,
1998-03,2158.382,
1998-04,1921.467,
1998-05,2221.115,
1998-06,2156.605,
1998-07,2184.609,
1998-08,2460.885,
1998-09,2044.250,
1998-10,2247.628,
1998-11,1936.539,
1998-12,3020.475,
1999-01,2444.315,
1999-02,2229.793,
1999-03,2194.051,
1999-04,2170.477,
1999-05,2171.810,
1999-06,2515.462,
1999-07,2522.175,
1999-08,2455.155,
1999-09,2377.966,
1999-10,2666.563,
1999-11,2772.239,
1999-12,3765.954,
2000-01,2813.519,
2000-02,2756.275,
2000-03,2831.923,
2000-04,2482.169,
2000-05,2648.927,
2000-06,2735.655,
2000-07,2860.919,
2000-08,2660.919,
2000-09,2838.056,
2000-10,3158.424,
2000-11,2936.149,
2000-12,4226.062,
2001-01,3905.319,
2001-02,3102.243,
2001-03,3151.913,
2001-04,3159.568,
2001-05,3260.440,
2001-06,3167.248,
2001-07,3995.523,
2001-08,3327.465,
2001-09,2820.792,
2001-10,3355.137,
2001-11,3085.665,
2001-12,4253.900,
2002-01,3942.856,
2002-02,3085.425,
2002-03,2981.020,
2002-04,3169.215,
2002-05,3036.538,
2002-06,2907.458,
2002-07,3371.476,
2002-08,2973.156,
2002-09,2625.256,
2002-10,3088.547,
2002-11,2817.534,
2002-12,3952.502,
2003-01,3836.002,
2003-02,2528.385,
2003-03,2661.667,
2003-04,2997.344,
2003-05,2619.669,
2003-06,2529.201,
2003-07,3332.728,
2003-08,2526.494,
2003-09,2522.041,
2003-10,2824.535,
2003-11,2800.465,
2003-12,4035.749,
2004-01,3332.963,
2004-02,2556.512,
2004-03,2841.077,
2004-04,3278.571,
2004-05,2741.297,
2004-06,2782.362,
2004-07,3142.325,
2004-08,2650.206,
2004-09,2807.155,
2004-10,2694.832,
2004-11,2999.346,
2004-12,4326.534,
2005-01,3849.586,
2005-02,2754.849,
2005-03,2876.026,
2005-04,3028.895,
2005-05,2730.728,
2005-06,2965.775,
2005-07,3291.518,
2005-08,2997.098,
2005-09,2954.020,
2005-10,2930.370,
2005-11,3204.655,
2005-12,4583.550,
2006-01,3905.348,
2006-02,3136.521,
2006-03,3333.591,
2006-04,2875.925,
2006-05,3132.644,
2006-06,3124.647,
2006-07,3291.119,
2006-08,3179.645,
2006-09,3079.605,
2006-10,3016.532,
2006-11,3465.943,
2006-12,4783.294,
2007-01,4189.421,
2007-02,3807.435,
2007-03,3347.573,
2007-04,3436.639,
2007-05,3451.861,
2007-06,3406.674,
2007-07,3644.587,
2007-08,3608.993,
2007-09,3317.937,
2007-10,3581.638,
2007-11,3759.885,
2007-12,4818.271,
2008-01,4202.309,
2008-02,3546.859,
2008-03,3334.645,
2008-04,3769.798,
2008-05,3467.713,
2008-06,3676.894,
2008-07,3723.310,
2008-08,3465.190,
2008-09,3730.876,
2008-10,3806.886,
2008-11,3872.361,
2008-12,5711.640,
2009-01,4589.930,
2009-02,3506.525,
2009-03,3886.524,
2009-04,3913.456,
2009-05,3512.532,
2009-06,3930.861,
2009-07,3747.257,
2009-08,3441.455,
2009-09,3706.957,
2009-10,3604.961,
2009-11,3931.022,
2009-12,5439.078,
2010-01,3989.594,
2010-02,3779.662,
2010-03,4021.754,
2010-04,3940.203,
2010-05,3686.490,
2010-06,4659.699,
2010-07,4176.797,
2010-08,3808.692,
2010-09,4105.630,
2010-10,4047.536,
2010-11,4523.306,
2010-12,6128.129,
2011-01,4670.061,
2011-02,4203.552,
2011-03,4725.175,
2011-04,4457.102,
2011-05,4695.289,
2011-06,4280.258,
2011-07,4548.440,
2011-08,4585.911,
2011-09,4368.366,
2011-10,4541.150,
2011-11,5303.276,
2011-12,6713.262,
2012-01,5612.639,
2012-02,4858.250,
2012-03,4969.784,
2012-04,4805.605,
2012-05,5167.033,
2012-06,4979.463,
