"",BBK01.OEYB13I,BBK01.OEYB13I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:27:42,
2002-01,6.487,
2002-04,6.309,
2002-07,5.597,
2002-10,5.430,
2003-01,5.240,
2003-04,5.148,
2003-07,5.991,
2003-10,5.831,
2004-01,5.685,
2004-04,5.581,
2004-07,5.932,
2004-10,5.802,
2005-01,5.711,
2005-04,5.627,
2005-07,5.877,
2005-10,5.491,
2006-01,5.599,
2006-04,5.990,
2006-07,6.285,
2006-10,5.763,
2007-01,5.677,
2007-04,5.490,
2007-07,5.372,
2007-10,4.962,
2008-01,4.854,
2008-04,4.720,
2008-07,4.604,
2008-10,4.300,
2009-01,4.216,
2009-04,4.119,
2009-07,4.059,
2009-10,3.975,
2010-01,3.827,
2010-04,3.525,
2010-07,3.454,
2010-10,3.397,
2011-01,3.331,
2011-04,3.257,
2011-07,3.150,
2011-10,3.060,
2012-01,2.988,
2012-04,2.933,
2012-07,2.863,
2012-10,2.780,
2013-01,2.708,
2013-04,2.648,
2013-07,2.557,
2013-10,2.504,
2014-01,2.471,
2014-04,2.450,
2014-07,2.396,
