"",BBK01.OEAC10J,BBK01.OEAC10J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:50:34,
2002-01,3.230,
2002-04,3.216,
2002-07,3.476,
2002-10,3.593,
2003-01,3.591,
2003-04,3.405,
2003-07,3.664,
2003-10,4.704,
2004-01,4.647,
2004-04,4.693,
2004-07,4.271,
2004-10,4.314,
2005-01,4.488,
2005-04,4.486,
2005-07,4.505,
2005-10,4.542,
2006-01,4.577,
2006-04,4.654,
2006-07,4.647,
2006-10,4.661,
2007-01,4.630,
2007-04,4.735,
2007-07,4.856,
2007-10,4.837,
2008-01,4.854,
2008-04,4.890,
2008-07,4.601,
2008-10,4.362,
2009-01,4.279,
2009-04,4.319,
2009-07,4.268,
2009-10,4.218,
2010-01,6.760,
2010-04,2.980,
2010-07,6.540,
2010-10,6.728,
2011-01,6.637,
2011-04,7.037,
2011-07,6.772,
2011-10,6.742,
2012-01,6.398,
2012-04,6.700,
2012-07,6.550,
2012-10,6.416,
2013-01,6.392,
2013-04,6.120,
2013-07,6.184,
2013-10,6.008,
2014-01,6.115,
2014-04,6.093,
2014-07,6.177,
